player,pos,team,ecr,best,worst
Jonathan Taylor,RB,IND,1.85,1,15
Christian McCaffrey,RB,CAR,2.17,1,12
Austin Ekeler,RB,LAC,3.62,2,15
Dalvin Cook,RB,MIN,5.62,2,18
Cooper Kupp,WR,LAR,7.43,2,14
Najee Harris,RB,PIT,7.53,1,25
Derrick Henry,RB,TEN,7.71,2,27
Justin Jefferson,WR,MIN,8.45,3,13
Travis Kelce,TE,KC,10.25,9,20
Joe Mixon,RB,CIN,10.63,3,25
Ja'Marr Chase,WR,CIN,11.3,4,17
D'Andre Swift,RB,DET,11.38,3,31
Stefon Diggs,WR,BUF,13.39,8,23
Davante Adams,WR,LV,13.81,9,23
Aaron Jones,RB,GB,15.75,5,38
CeeDee Lamb,WR,DAL,17.27,12,26
Saquon Barkley,RB,NYG,17.95,5,35
Leonard Fournette,RB,TB,18.66,5,41
Mark Andrews,TE,BAL,20.39,9,52
Alvin Kamara,RB,NO,23.09,5,55
Mike Evans,WR,TB,23.27,14,43
Tyreek Hill,WR,MIA,24.02,14,46
Keenan Allen,WR,LAC,24.37,17,42
Javonte Williams,RB,DEN,24.93,8,56
Deebo Samuel,WR,SF,25.81,14,53
Nick Chubb,RB,CLE,26.98,7,44
Tee Higgins,WR,CIN,28.76,20,47
Michael Pittman Jr.,WR,IND,29.66,20,86
A.J. Brown,WR,PHI,31.25,19,58
DJ Moore,WR,CAR,32.12,20,58
James Conner,RB,ARI,33.64,16,64
Diontae Johnson,WR,PIT,34.15,20,57
Ezekiel Elliott,RB,DAL,34.67,8,56
Josh Allen,QB,BUF,36.3,35,45
David Montgomery,RB,CHI,37.38,16,64
Kyle Pitts,TE,ATL,38.28,9,89
Jaylen Waddle,WR,MIA,38.75,24,76
Cam Akers,RB,LAR,39.58,25,73
Travis Etienne Jr.,RB,JAC,41.14,18,82
Terry McLaurin,WR,WAS,41.67,24,75
Breece Hall,RB,NYJ,43.21,18,174
Brandin Cooks,WR,HOU,45.72,28,75
Justin Herbert,QB,LAC,45.81,36,69
George Kittle,TE,SF,48.7,30,89
Antonio Gibson,RB,WAS,48.97,18,81
Mike Williams,WR,LAC,49.21,31,96
DK Metcalf,WR,SEA,49.35,26,76
Darren Waller,TE,LV,49.94,30,71
Courtland Sutton,WR,DEN,49.97,23,96
Patrick Mahomes II,QB,KC,50.85,40,78
Josh Jacobs,RB,LV,51.55,27,74
