player,pos,team,ecr,best,worst
Justin Jefferson,WR,MIN,1.34,1,6
Ja'Marr Chase,WR,CIN,2.68,1,10
Christian McCaffrey,RB,SF,3.42,1,15
Cooper Kupp,WR,LAR,5.14,2,16
Tyreek Hill,WR,MIA,5.36,2,13
Travis Kelce,TE,KC,6.36,5,13
Austin Ekeler,RB,LAC,7.23,2,10
Stefon Diggs,WR,BUF,8.71,4,20
CeeDee Lamb,WR,DAL,10.65,5,23
Saquon Barkley,RB,NYG,11.93,3,25
Davante Adams,WR,LV,12.3,5,23
A.J. Brown,WR,PHI,12.41,5,32
Amon-Ra St. Brown,WR,DET,13.04,8,26
Bijan Robinson,RB,ATL,14.7,2,23
Garrett Wilson,WR,NYJ,14.76,9,28
Tony Pollard,RB,DAL,17.75,5,37
Jaylen Waddle,WR,MIA,19.2,11,39
Jonathan Taylor,RB,IND,20.06,7,41
Nick Chubb,RB,CLE,21.01,7,25
Chris Olave,WR,NO,21.28,14,34
Derrick Henry,RB,TEN,23.04,7,41
DeVonta Smith,WR,PHI,24.32,16,45
Rhamondre Stevenson,RB,NE,25.18,10,52
Josh Jacobs,RB,LV,25.96,10,58
Tee Higgins,WR,CIN,26.2,14,42
Patrick Mahomes II,QB,KC,26.76,24,45
Keenan Allen,WR,LAC,27.37,16,54
Josh Allen,QB,BUF,28.42,23,49
Jalen Hurts,QB,PHI,29.11,24,46
DK Metcalf,WR,SEA,29.56,14,47
Mark Andrews,TE,BAL,31.69,17,51
Amari Cooper,WR,CLE,36.17,27,57
Najee Harris,RB,PIT,36.2,18,58
Joe Mixon,RB,CIN,38.34,10,69
Breece Hall,RB,NYJ,39.42,15,85
Calvin Ridley,WR,JAC,40.16,12,90
Deebo Samuel,WR,SF,42.06,13,66
Chris Godwin,WR,TB,42.33,26,69
Lamar Jackson,QB,BAL,42.81,26,78
Travis Etienne Jr.,RB,JAC,42.84,18,66
Aaron Jones,RB,GB,43.27,24,68
DeAndre Hopkins,WR,TEN,43.72,16,70
Drake London,WR,ATL,44.09,27,73
Jahmyr Gibbs,RB,DET,45.02,18,93
Jerry Jeudy,WR,DEN,45.37,32,71
Terry McLaurin,WR,WAS,45.82,27,76
Joe Burrow,QB,CIN,46.15,26,68
DJ Moore,WR,CHI,46.95,26,65
T.J. Hockenson,TE,MIN,51.15,29,97
Christian Watson,WR,GB,51.99,29,75
Tyler Lockett,WR,SEA,52.7,32,87
Justin Fields,QB,CHI,53.89,29,95
Justin Herbert,QB,LAC,53.92,36,84
Diontae Johnson,WR,PIT,54.19,34,79
Michael Pittman Jr.,WR,IND,55.59,33,80
Christian Kirk,WR,JAC,56.44,33,83
Marquise Brown,WR,ARI,56.49,22,83
Brandon Aiyuk,WR,SF,56.84,33,109
Kenneth Walker III,RB,SEA,58.02,28,88
Mike Williams,WR,LAC,58.07,40,79
Miles Sanders,RB,CAR,61.09,37,98
Mike Evans,WR,TB,63.76,44,91
J.K. Dobbins,RB,BAL,64.76,38,96
Trevor Lawrence,QB,JAC,66.78,50,101
George Kittle,TE,SF,67.4,30,132
Cam Akers,RB,LAR,68,33,108
James Conner,RB,ARI,69.31,34,99
Dameon Pierce,RB,HOU,70.48,41,108
Alexander Mattison,RB,MIN,70.91,35,149
