player,pos,team,ecr,best,worst
Rachaad White,RB,TB,71.54,41,108
Dallas Goedert,TE,PHI,73.53,51,106
Jahan Dotson,WR,WAS,73.6,57,112
Darren Waller,TE,NYG,74.38,30,137
Kyle Pitts,TE,ATL,75.93,50,138
George Pickens,WR,PIT,76.83,47,121
Jordan Addison,WR,MIN,77.91,59,119
Treylon Burks,WR,TEN,78.08,59,117
Jaxon Smith-Njigba,WR,SEA,79,57,113
Brandin Cooks,WR,DAL,81.08,60,112
Javonte Williams,RB,DEN,81.19,35,118
D'Andre Swift,RB,PHI,81.32,41,115
David Montgomery,RB,DET,83.74,59,118
Alvin Kamara,RB,NO,83.78,41,233
Courtland Sutton,WR,DEN,85.96,63,131
Dalvin Cook,RB,FA,86.3,38,124
Isiah Pacheco,RB,KC,86.58,55,128
JuJu Smith-Schuster,WR,NE,88.74,60,143
Deshaun Watson,QB,CLE,89.92,55,126
Gabe Davis,WR,BUF,90.17,63,137
James Cook,RB,BUF,90.85,64,129
Quentin Johnston,WR,LAC,92.89,61,117
Rashod Bateman,WR,BAL,93.84,61,174
Michael Thomas,WR,NO,94.34,48,143
Dak Prescott,QB,DAL,95.42,55,127
Kadarius Toney,WR,KC,96.83,56,163
Antonio Gibson,RB,WAS,97.02,63,115
Elijah Moore,WR,CLE,97.53,57,161
Jakobi Meyers,WR,LV,98.7,69,215
Tua Tagovailoa,QB,MIA,99.62,55,130
Pat Freiermuth,TE,PIT,99.73,52,137
Evan Engram,TE,JAC,100.45,71,138
AJ Dillon,RB,GB,102.11,78,128
Daniel Jones,QB,NYG,103.44,64,130
Brian Robinson Jr.,RB,WAS,105.47,56,168
Zay Flowers,WR,BAL,105.62,62,226
Kirk Cousins,QB,MIN,106.88,82,130
Geno Smith,QB,SEA,109.55,84,130
Khalil Herbert,RB,CHI,109.96,80,198
Samaje Perine,RB,DEN,111.41,85,235
Rashaad Penny,RB,PHI,113.69,82,189
Nico Collins,WR,HOU,114.09,83,186
Rondale Moore,WR,ARI,114.36,79,203
David Njoku,TE,CLE,114.62,72,153
Allen Lazard,WR,NYJ,116.73,74,205
Aaron Rodgers,QB,NYJ,117.02,84,168
Damien Harris,RB,BUF,117.7,90,189
Jamaal Williams,RB,NO,119.67,85,189
Darnell Mooney,WR,CHI,121.87,73,214
Skyy Moore,WR,KC,122.36,74,210
Jerick McKinnon,RB,KC,123.63,83,199
Jameson Williams,WR,DET,123.71,74,210
Zach Charbonnet,RB,SEA,123.95,83,245
Jared Goff,QB,DET,124.57,94,172
Zay Jones,WR,JAC,125.22,90,240
Tyler Boyd,WR,CIN,126.67,89,225
Russell Wilson,QB,DEN,126.85,95,170
Anthony Richardson,QB,IND,130.13,64,358
Dalton Schultz,TE,HOU,130.29,72,267
Odell Beckham Jr.,WR,BAL,130.53,70,263
Elijah Mitchell,RB,SF,134.75,108,189
Adam Thielen,WR,CAR,134.81,75,240
Romeo Doubs,WR,GB,137.78,84,264
Tyler Higbee,TE,LAR,138.28,103,232
Greg Dulcich,TE,DEN,138.45,102,182
Chigoziem Okonkwo,TE,TEN,138.67,106,182
Devin Singletary,RB,HOU,140.4,113,227
De'Von Achane,RB,MIA,142.11,86,295
Jeff Wilson Jr.,RB,MIA,143.19,92,235
Michael Gallup,WR,DAL,143.47,90,234
Cole Kmet,TE,CHI,145.04,76,228
DJ Chark Jr.,WR,CAR,145.78,87,285
Tyler Allgeier,RB,ATL,146.12,90,296
Jaylen Warren,RB,PIT,147.6,113,259
Raheem Mostert,RB,MIA,149.77,88,237
Donovan Peoples-Jones,WR,CLE,150.58,94,261
Matthew Stafford,QB,LAR,150.64,116,254
Gerald Everett,TE,LAC,152.88,127,221
Derek Carr,QB,NO,153.41,127,241
K.J. Osborn,WR,MIN,154.75,89,271
Hunter Renfrow,WR,LV,156.83,118,240
San Francisco 49ers,DST,SF,161.16,155,234
Curtis Samuel,WR,WAS,165.74,117,235
Alec Pierce,WR,IND,165.91,122,214
Dalton Kincaid,TE,BUF,166.6,104,304
D'Onta Foreman,RB,CHI,166.66,115,274
Rashid Shaheed,WR,NO,166.83,122,265
Isaiah Hodgins,WR,NYG,167.05,94,244
Kenny Pickett,QB,PIT,168.46,116,242
Jordan Love,QB,GB,168.76,127,320
Dallas Cowboys,DST,DAL,169.26,154,207
Kendre Miller,RB,NO,169.45,107,315
Kenneth Gainwell,RB,PHI,171.27,119,264
Wan'Dale Robinson,WR,NYG,172.94,119,263
Justin Tucker,K,BAL,173.38,166,184
Buffalo Bills,DST,BUF,173.44,155,213
Philadelphia Eagles,DST,PHI,176.04,155,230
Juwan Johnson,TE,NO,177.31,132,273
Van Jefferson,WR,LAR,178.63,90,255
Jonathan Mingo,WR,CAR,180.07,98,297
Tyler Bass,K,BUF,181.42,176,221
Bryce Young,QB,CAR,182.3,106,284
Darius Slayton,WR,NYG,185.08,109,373
Kyler Murray,QB,ARI,185.21,115,334
Chuba Hubbard,RB,CAR,186.16,141,264
John Metchie III,WR,HOU,186.89,107,263
Marquez Valdes-Scantling,WR,KC,187.27,120,261
New York Jets,DST,NYJ,188.44,155,318
Joshua Palmer,WR,LAC,188.67,131,297
New England Patriots,DST,NE,188.71,164,266
Robert Woods,WR,HOU,188.96,90,263
Parris Campbell,WR,NYG,190.42,119,263
Mike Gesicki,TE,NE,190.44,132,291
Rashee Rice,WR,KC,190.53,109,314
Tank Bigsby,RB,JAC,191.58,99,316
Chase Claypool,WR,CHI,191.72,119,301
Daniel Carlson,K,LV,191.95,173,252
Harrison Butker,K,KC,191.98,173,224
Trey McBride,TE,ARI,192.23,137,325
Brock Purdy,QB,SF,194.21,126,342
Jayden Reed,WR,GB,194.42,119,315
Evan McPherson,K,CIN,194.45,153,221
Baltimore Ravens,DST,BAL,195.6,171,225
Roschon Johnson,RB,CHI,197.87,114,331
Denver Broncos,DST,DEN,198.21,164,325
Ezekiel Elliott,RB,FA,198.64,100,379
DeVante Parker,WR,NE,198.78,109,269
Tyquan Thornton,WR,NE,199.7,145,333
Allen Robinson II,WR,PIT,200.52,123,327
Jerome Ford,RB,CLE,200.6,127,320
Cordarrelle Patterson,RB,ATL,201.85,132,362
Irv Smith Jr.,TE,CIN,201.87,135,301
Sam LaPorta,TE,DET,202.82,123,348
Ryan Tannehill,QB,TEN,203.11,127,334
Clyde Edwards-Helaire,RB,KC,203.82,118,289
Hayden Hurst,TE,CAR,205.07,132,348
Mecole Hardman Jr.,WR,NYJ,205.85,144,285
Leonard Fournette,RB,FA,206.42,118,374
Dawson Knox,TE,BUF,207.07,128,313
Jalin Hyatt,WR,NYG,207.97,102,314
Kansas City Chiefs,DST,KC,209.2,171,283
Gus Edwards,RB,BAL,210.12,124,312
Michael Carter,RB,NYJ,210.88,129,319
New Orleans Saints,DST,NO,211.16,171,278
Marvin Mims Jr.,WR,DEN,211.75,107,317
C.J. Stroud,QB,HOU,213.01,146,354
Pittsburgh Steelers,DST,PIT,215.6,177,347
Russell Gage,WR,TB,215.67,135,298
Younghoe Koo,K,ATL,216.7,165,276
Corey Davis,WR,NYJ,216.88,151,269
Cincinnati Bengals,DST,CIN,217.47,175,279
Terrace Marshall Jr.,WR,CAR,217.99,117,314
Jimmy Garoppolo,QB,LV,218.45,148,337
Josh Downs,WR,IND,219.34,124,328
Tim Patrick,WR,DEN,219.91,117,315
Noah Fant,TE,SEA,220.74,153,308
Mac Jones,QB,NE,220.93,131,333
Sam Howell,QB,WAS,221.22,127,334
Jason Sanders,K,MIA,221.4,166,252
Miami Dolphins,DST,MIA,221.95,158,309
Tampa Bay Buccaneers,DST,TB,224.89,165,326
Kareem Hunt,RB,FA,225,118,377
Brandon McManus,K,JAC,228.93,169,252
Khalil Shakir,WR,BUF,229.22,134,329
Jake Elliott,K,PHI,230.35,171,288
Zamir White,RB,LV,231.81,135,364
Zach Ertz,TE,ARI,232.29,144,325
Nick Folk,K,NE,233.52,184,298
Sterling Shepard,WR,NYG,236.01,163,349
Jason Myers,K,SEA,236.29,168,311
Washington Commanders,DST,WAS,236.79,162,355
Tyjae Spears,RB,TEN,236.8,147,361
Joshua Kelley,RB,LAC,236.94,131,321
Hunter Henry,TE,NE,237.04,152,325
Matt Gay,K,IND,237.41,181,300
Mack Hollins,WR,ATL,237.69,156,288
Richie James Jr.,WR,KC,237.89,136,315
Cleveland Browns,DST,CLE,238.52,166,354
Michael Mayer,TE,LV,238.88,142,313
Los Angeles Chargers,DST,LAC,240.26,180,318
Marvin Jones Jr.,WR,DET,241.45,159,306
Josh Reynolds,WR,DET,242.92,196,343
Desmond Ridder,QB,ATL,244.31,155,329
Pierre Strong Jr.,RB,NE,244.8,147,336
Chase Edmonds,RB,TB,245.29,135,340
Tyler Conklin,TE,NYJ,246.04,138,341
Green Bay Packers,DST,GB,246.14,158,307
Chase Brown,RB,CIN,246.51,139,382
Tank Dell,WR,HOU,247.57,140,301
Graham Gano,K,NYG,248.35,174,326
Isaiah McKenzie,WR,IND,250.2,159,343
Kendrick Bourne,WR,NE,251.66,175,340
Greg Joseph,K,MIN,253.01,151,308
Taysom Hill,TE,NO,253.63,152,317
Puka Nacua,WR,LAR,254.67,161,326
Indianapolis Colts,DST,IND,257.74,159,323
Jacksonville Jaguars,DST,JAC,258.66,152,307
Greg Zuerlein,K,NYJ,259.85,152,300
Matt Prater,K,ARI,260.32,174,316
Justyn Ross,WR,KC,260.72,159,345
Jelani Woods,TE,IND,261.4,161,319
Michael Wilson,WR,ARI,263.63,175,369
Logan Thomas,TE,WAS,264.18,144,325
Greg Dortch,WR,ARI,265.65,196,343
Jake Ferguson,TE,DAL,266.1,152,348
Ty Chandler,RB,MIN,266.23,147,362
Cedric Tillman,WR,CLE,266.53,205,377
Cade Otton,TE,TB,266.62,153,338
Wil Lutz,K,NO,266.93,176,352
Zach Evans,RB,LAR,266.96,174,349
Quez Watkins,WR,PHI,267.25,145,354
Robbie Gould,K,FA,268.35,204,332
Los Angeles Rams,DST,LAR,269.65,187,353
Isaiah Likely,TE,BAL,270.32,179,322
Jake Moody,K,SF,271.63,203,342
Ryan Succop,K,FA,272.22,184,339
Baker Mayfield,QB,TB,272.24,162,351
Luke Musgrave,TE,GB,272.49,164,359
Davis Mills,QB,HOU,272.5,183,362
Laviska Shenault Jr.,WR,CAR,273.29,220,373
Braxton Berrios,WR,MIA,273.31,222,348
David Bell,WR,CLE,274.69,208,390
Devin Duvernay,WR,BAL,275.86,222,379
Nick Westbrook-Ikhine,WR,TEN,277.83,229,367
Israel Abanikanda,RB,NYJ,279.11,155,359
Isaiah Spiller,RB,LAC,279.5,199,383
Kyle Philips,WR,TEN,279.53,220,345
Dustin Hopkins,K,LAC,279.64,157,320
Kayshon Boutte,WR,NE,282.85,229,353
Carolina Panthers,DST,CAR,283.1,158,347
Las Vegas Raiders,DST,LV,284,219,342
Kyren Williams,RB,LAR,284.4,161,362
Riley Patterson,K,DET,285.06,167,353
Chris Boswell,K,PIT,286.28,180,332
KJ Hamler,WR,FA,287.79,229,349
D'Ernest Johnson,RB,JAC,288.49,181,389
James Robinson,RB,NYG,289.81,155,367
Tutu Atwell,WR,LAR,289.97,195,372
Zonovan Knight,RB,NYJ,290.31,183,368
Malik Davis,RB,DAL,290.56,172,382
DeWayne McBride,RB,MIN,291.32,169,386
Trey Lance,QB,SF,292.28,170,387
Seattle Seahawks,DST,SEA,292.85,165,355
New York Giants,DST,NYG,293.9,161,327
Nelson Agholor,WR,BAL,294.13,231,372
Robbie Chosen,WR,MIA,296.56,210,377
Elijah Higgins,TE,MIA,296.67,230,331
Arizona Cardinals,DST,ARI,297.29,158,355
JaMycal Hasty,RB,JAC,297.62,245,368
Jarvis Landry,WR,FA,297.67,265,378
Zack Moss,RB,IND,298.64,238,380
Deonte Harty,WR,BUF,299.1,214,367
Tennessee Titans,DST,TEN,299.22,159,353
Evan Hull,RB,IND,299.25,168,382
Brett Maher,K,DEN,299.57,176,353
Jordan Mason,RB,SF,299.86,217,368
Cairo Santos,K,CHI,300.58,175,353
Cameron Dicker,K,LAC,300.89,224,353
Ka'imi Fairbairn,K,HOU,301.01,172,353
Ben Skowronek,WR,LAR,301.52,222,374
Matt Breida,RB,NYG,301.7,194,385
Austin Hooper,TE,LV,301.88,209,350
Tanner Brown,K,LAR,302,281,315
Rodrigo Blankenship,K,TB,302.81,174,353
Michael Badgley,K,WAS,302.84,177,339
Sammy Watkins,WR,FA,303,231,375
Chad Ryland,K,NE,303.6,253,343
Daniel Bellinger,TE,NYG,303.67,231,374
Boston Scott,RB,PHI,303.68,237,386
Detroit Lions,DST,DET,303.81,164,355
Julio Jones,WR,FA,305.19,229,377
Deneric Prince,RB,KC,305.56,167,390
Mason Crosby,K,FA,306.58,173,353
Houston Texans,DST,HOU,306.8,248,351
Deon Jackson,RB,IND,306.89,181,388
Demario Douglas,WR,NE,307,271,343
Demetric Felton Jr.,RB,CLE,307,283,331
Cade York,K,CLE,307.3,228,353
Latavius Murray,RB,BUF,307.68,235,380
Keaontay Ingram,RB,ARI,307.94,198,392
Scott Miller,WR,ATL,308.14,271,373
Tristan Vizcaino,K,DAL,309.51,221,344
Eric Gray,RB,NYG,310.07,217,392
Atlanta Falcons,DST,ATL,311,266,355
Deuce Vaughn,RB,DAL,311.21,214,393
Jamison Crowder,WR,NYG,311.77,261,375
Ronald Jones II,RB,DAL,312.11,187,383
Jauan Jennings,WR,SF,312.45,220,369
Ty Montgomery,RB,NE,312.75,259,392
Keaton Mitchell,RB,BAL,313.67,259,347
Xavier Hutchinson,WR,HOU,314.16,226,375
Trayveon Williams,RB,CIN,314.33,238,382
Albert Okwuegbunam,TE,DEN,314.75,258,371
Elliott Fry,K,DEN,315.6,251,364
Sean Tucker,RB,TB,316.33,239,386
Jalen Reagor,WR,MIN,316.33,271,384
Eddy Pineiro,K,CAR,316.42,278,353
Hassan Haskins,RB,TEN,316.45,274,393
Chicago Bears,DST,CHI,317.67,302,347
Minnesota Vikings,DST,MIN,317.8,165,355
A.T. Perry,WR,NO,318.26,286,369
Rico Dowdle,RB,DAL,319,237,388
Chase McLaughlin,K,TB,319.11,292,342
Zane Gonzalez,K,SF,319.25,252,353
Tyler Scott,WR,CHI,320.25,268,370
Chris Rodriguez Jr.,RB,WAS,320.89,259,393
Jalen Nailor,WR,MIN,321.33,304,350
Noah Brown,WR,HOU,321.45,286,370
Ameer Abdullah,RB,LV,321.61,256,368
Raheem Blackshear,RB,CAR,321.71,256,370
Denzel Mims,WR,DET,322,286,369
Chris Evans,RB,CIN,322.33,240,388
Jacoby Brissett,QB,WAS,322.55,207,380
Robert Tonyan,TE,CHI,323.17,189,389
Tyrion Davis-Price,RB,SF,323.65,252,393
Jalen Guyton,WR,LAC,323.67,269,390
Anders Carlson,K,GB,324,292,342
Randall Cobb,WR,NYJ,324.42,284,379
Will Levis,QB,TEN,324.63,176,397
Craig Reynolds,RB,DET,324.63,277,375
Kenny McIntosh,RB,SEA,324.74,246,390
Joey Slye,K,WAS,325,297,342
Quintez Cephus,WR,DET,325,304,346
Gary Brightwell,RB,NYG,326,313,334
Luke Schoonmaker,TE,DAL,326.22,261,389
Caleb Huntley,RB,FA,326.5,324,329
Jonnu Smith,TE,ATL,326.52,255,370
Chris Moore,WR,TEN,326.67,262,377
Kevin Harris,RB,NE,328.96,257,393
Olamide Zaccheaus,WR,PHI,329.16,242,379
Andy Dalton,QB,CAR,329.2,181,394
Randy Bullock,K,FA,330,308,353
Julius Chestnut,RB,TEN,330.67,289,380
Kenyan Drake,RB,FA,330.83,296,366
Ke'Shawn Vaughn,RB,TB,330.85,268,378
Cedrick Wilson Jr.,WR,MIA,331.29,242,395
Tyler Davis,K,FA,331.4,318,351
Melvin Gordon III,RB,BAL,331.44,283,387
Trent Sherfield,WR,BUF,331.71,234,395
Colt McCoy,QB,ARI,332.58,214,397
Kalif Raymond,WR,DET,332.65,268,396
Eno Benjamin,RB,NO,332.94,277,388
Corey Clement,RB,ARI,333.5,290,393
Kenny Golladay,WR,FA,334.14,293,378
Sam Darnold,QB,SF,334.35,186,397
Darrel Williams,RB,FA,334.4,305,368
J.D. McKissic,RB,FA,334.64,308,376
Tucker Kraft,TE,GB,334.9,266,391
Tyler Huntley,QB,BAL,336,280,367
Brian Hoyer,QB,LV,336,283,367
DeeJay Dallas,RB,SEA,336.38,304,388
Justice Hill,RB,BAL,336.4,238,379
Foster Moreau,TE,NO,336.48,255,391
Dontrell Hilliard,RB,FA,336.76,289,392
Jalen Tolbert,WR,DAL,337.16,247,378
Jamal Agnew,WR,JAC,337.25,285,383
Gardner Minshew II,QB,IND,338.11,241,387
Marlon Mack,RB,FA,338.17,327,353
Taylor Heinicke,QB,ATL,338.19,254,397
Kyle Trask,QB,TB,338.61,248,397
Caleb Shudak,K,TEN,339.33,328,349
Darnell Washington,TE,PIT,339.47,260,386
Dee Eskridge,WR,SEA,339.5,330,349
Rex Burkhead,RB,FA,339.57,332,354
Salvon Ahmed,RB,MIA,340.08,312,392
Calvin Austin III,WR,PIT,340.1,295,395
Tony Jones Jr.,RB,DEN,340.67,303,392
Jarrett Stidham,QB,DEN,340.67,306,358
Darrell Henderson Jr.,RB,FA,340.81,308,386
Durham Smythe,TE,MIA,340.94,303,381
Kyle Juszczyk,RB,SF,341,329,357
Justin Watson,WR,KC,341.22,271,396
Mark Ingram II,RB,FA,341.6,333,358
Ty Johnson,RB,FA,342.4,327,388
Brandon Bolden,RB,LV,342.4,274,388
Marquez Callaway,WR,DEN,342.68,263,384
Myles Gaskin,RB,MIA,343.2,318,389
Justin Jackson,RB,FA,343.22,308,386
Kendall Hinton,WR,DEN,343.5,340,347
Carson Wentz,QB,FA,344.2,334,360
Samori Toure,WR,GB,344.29,295,395
Cole Turner,TE,WAS,344.33,294,389
Kene Nwangwu,RB,MIN,344.75,277,393
Jameis Winston,QB,NO,344.92,284,397
Noah Gray,TE,KC,345.29,296,376
Equanimeous St. Brown,WR,CHI,345.4,268,383
Demarcus Robinson,WR,LAR,346.73,242,390
Tyler Badie,RB,DEN,346.75,313,364
Clayton Tune,QB,ARI,348.17,303,393
Trey Palmer,WR,TB,348.87,293,378
Will Dissly,TE,SEA,349.37,296,391
Tre Tucker,WR,LV,349.5,304,383
Charlie Jones,WR,CIN,349.8,272,390
Donald Parham Jr.,TE,LAC,350.37,300,386
Mike White,QB,MIA,350.73,288,391
KhaDarel Hodge,WR,ATL,351.5,328,375
Josiah Deguara,TE,GB,351.5,335,368
Malik Willis,QB,TEN,351.5,343,360
Brevin Jordan,TE,HOU,351.61,293,389
Adam Trautman,TE,DEN,352.23,322,389
DeAndre Carter,WR,LV,353.2,297,379
Parker Washington,WR,JAC,353.53,304,396
Mo Alie-Cox,TE,IND,353.53,320,381
Josh Oliver,TE,MIN,354,329,381
Trenton Irwin,WR,CIN,354,317,390
Travis Homer,RB,CHI,354,337,363
Zach Pascal,WR,ARI,354.8,293,378
Harrison Bryant,TE,CLE,355.23,318,381
Patrick Ricard,RB,BAL,355.67,350,362
Colby Parkinson,TE,SEA,356,352,360
Dyami Brown,WR,WAS,356.11,298,396
Andrei Iosivas,WR,CIN,356.4,304,383
Jordan Akins,TE,CLE,357.25,328,394
Bailey Zappe,QB,NE,360.14,323,397
C.J. Uzomah,TE,NYJ,360.86,298,394
Marquise Goodwin,WR,CLE,361,351,372
Tre'Quan Smith,WR,NO,361.18,295,396
Jeremy Ruckert,TE,NYJ,361.67,342,394
Dontayvion Wicks,WR,GB,364.9,295,390
Tommy Tremble,TE,CAR,367,340,394
Dan Arnold,TE,PHI,367.5,366,369
Mike Boone,RB,HOU,368,337,392
Brock Wright,TE,DET,368,354,387
Zach Wilson,QB,NYJ,368.5,352,385
Mohamed Ibrahim,RB,DET,368.67,367,370
Brenton Strange,TE,JAC,369,348,381
Kylen Granson,TE,IND,369.23,338,391
Peyton Hendershot,TE,DAL,369.71,338,394
Ashton Dulin,WR,IND,369.8,333,396
Velus Jones Jr.,WR,CHI,370.67,345,383
Anthony McFarland Jr.,RB,PIT,371,364,381
John Bates,TE,WAS,373.67,349,391
Zack Kuntz,TE,NYJ,374,360,391
Shi Smith,WR,CAR,374,366,382
O.J. Howard,TE,FA,377.5,364,391
Hunter Long,TE,LAR,381.67,374,394
Danny Gray,WR,SF,382.5,345,396
Nick Mullens,QB,MIN,383.5,380,387
