player,pos,team,ecr,best,worst
Ja'Marr Chase,WR,CIN,1.1,1,4
Bijan Robinson,RB,ATL,2.93,1,8
Justin Jefferson,WR,MIN,3.98,1,9
CeeDee Lamb,WR,DAL,3.98,3,9
Jahmyr Gibbs,RB,DET,6.51,2,20
Puka Nacua,WR,LAR,6.85,4,10
Malik Nabers,WR,NYG,7.27,3,14
Amon-Ra St. Brown,WR,DET,8.93,4,15
Saquon Barkley,RB,PHI,9.28,2,22
Nico Collins,WR,HOU,10,6,15
Brian Thomas Jr.,WR,JAC,10.96,7,19
Drake London,WR,ATL,13.3,6,19
Christian McCaffrey,RB,SF,14.51,2,40
De'Von Achane,RB,MIA,15.88,8,23
Ashton Jeanty,RB,LV,16.24,5,40
Brock Bowers,TE,LV,16.59,12,31
A.J. Brown,WR,PHI,18.01,11,25
Ladd McConkey,WR,LAC,18.09,11,35
Jaxon Smith-Njigba,WR,SEA,20.44,13,44
Trey McBride,TE,ARI,20.45,15,31
Derrick Henry,RB,BAL,23.01,8,40
Garrett Wilson,WR,NYJ,23.38,13,47
Tyreek Hill,WR,MIA,24.22,13,47
Josh Allen,QB,BUF,24.99,21,31
Tee Higgins,WR,CIN,25.45,13,48
Lamar Jackson,QB,BAL,25.91,24,35
Chase Brown,RB,CIN,28.22,19,46
Bucky Irving,RB,TB,28.82,12,49
Davante Adams,WR,LAR,29.82,13,44
Josh Jacobs,RB,GB,29.88,12,42
Jayden Daniels,QB,WAS,31.45,26,53
George Kittle,TE,SF,31.94,15,56
Jonathan Taylor,RB,IND,33.15,20,45
Mike Evans,WR,TB,33.79,25,51
Terry McLaurin,WR,WAS,35.63,18,48
Jalen Hurts,QB,PHI,37.46,26,53
Kyren Williams,RB,LAR,38.57,23,60
DJ Moore,WR,CHI,38.91,19,54
Breece Hall,RB,NYJ,39.09,22,56
Marvin Harrison Jr.,WR,ARI,39.21,19,59
Alvin Kamara,RB,NO,39.46,22,66
Kenneth Walker III,RB,SEA,44.51,23,64
DK Metcalf,WR,PIT,46.05,27,85
James Cook,RB,BUF,46.82,32,60
Courtland Sutton,WR,DEN,46.84,28,83
Joe Burrow,QB,CIN,48.34,26,58
DeVonta Smith,WR,PHI,48.48,35,68
Rashee Rice,WR,KC,50.29,26,90
Chuba Hubbard,RB,CAR,50.94,40,66
Zay Flowers,WR,BAL,52.02,39,87
James Conner,RB,ARI,52.83,40,66
Omarion Hampton,RB,LAC,52.98,32,119
Jaylen Waddle,WR,MIA,57.4,37,109
