player,pos,team,ecr,best,worst
Tetairoa McMillan,WR,CAR,57.54,28,141
Chris Olave,WR,NO,58.74,39,108
Xavier Worthy,WR,KC,60.44,28,114
Jameson Williams,WR,DET,62.43,34,125
Patrick Mahomes II,QB,KC,63.41,54,100
D'Andre Swift,RB,CHI,65.01,45,98
David Montgomery,RB,DET,65.3,45,85
George Pickens,WR,DAL,66.3,28,99
T.J. Hockenson,TE,MIN,66.39,31,105
Calvin Ridley,WR,TEN,67.1,37,108
Sam LaPorta,TE,DET,67.35,48,84
Baker Mayfield,QB,TB,68.23,54,107
Aaron Jones Sr.,RB,MIN,68.34,46,85
TreVeyon Henderson,RB,NE,69.44,46,117
Jerry Jeudy,WR,CLE,70.15,44,95
Joe Mixon,RB,HOU,70.51,44,151
Travis Hunter,WR,JAC,70.55,44,114
RJ Harvey,RB,DEN,71.1,49,124
Tony Pollard,RB,TEN,73.52,52,102
Chris Godwin,WR,TB,74.27,47,132
Bo Nix,QB,DEN,74.52,58,104
Isiah Pacheco,RB,KC,75.43,55,116
Travis Kelce,TE,KC,75.62,56,115
Kaleb Johnson,RB,PIT,78.17,55,161
Rome Odunze,WR,CHI,78.21,50,114
Kyler Murray,QB,ARI,79.11,58,112
Evan Engram,TE,DEN,81.5,56,111
Jordan Addison,WR,MIN,81.82,51,115
Jakobi Meyers,WR,LV,82.13,41,125
Khalil Shakir,WR,BUF,83.68,48,122
David Njoku,TE,CLE,84.55,56,110
Brian Robinson Jr.,RB,WAS,85.2,66,116
Stefon Diggs,WR,NE,85.74,50,148
Jauan Jennings,WR,SF,85.79,51,136
Mark Andrews,TE,BAL,89.09,72,123
Justin Fields,QB,NYJ,89.84,58,146
Jaylen Warren,RB,PIT,92.9,60,156
Brock Purdy,QB,SF,93.55,69,133
Travis Etienne Jr.,RB,JAC,94.05,55,145
Dak Prescott,QB,DAL,94.33,58,124
Justin Herbert,QB,LAC,96.65,62,126
Caleb Williams,QB,CHI,96.84,62,133
Josh Downs,WR,IND,96.95,59,136
Tyrone Tracy Jr.,RB,NYG,98.67,64,155
Deebo Samuel Sr.,WR,WAS,99.67,70,141
Jayden Reed,WR,GB,100.16,70,141
Jared Goff,QB,DET,100.26,62,128
Michael Pittman Jr.,WR,IND,101.12,67,127
Ricky Pearsall,WR,SF,103.77,63,162
Javonte Williams,RB,DAL,104.23,76,147
Cooper Kupp,WR,SEA,105.34,63,132
Drake Maye,QB,NE,106.52,78,136
Jake Ferguson,TE,DAL,106.99,80,154
Tucker Kraft,TE,GB,107.93,84,225
Jordan Love,QB,GB,108.16,78,138
Quinshon Judkins,RB,CLE,113.09,57,250
Trevor Lawrence,QB,JAC,113.6,76,133
Najee Harris,RB,LAC,113.95,74,159
Zach Charbonnet,RB,SEA,114.28,88,145
C.J. Stroud,QB,HOU,115.3,73,138
Rhamondre Stevenson,RB,NE,116.13,77,218
Dalton Kincaid,TE,BUF,116.3,84,180
Darnell Mooney,WR,ATL,117.52,81,164
Cam Skattebo,RB,NYG,117.68,77,221
Tyjae Spears,RB,TEN,120.1,85,159
Jordan Mason,RB,MIN,120.57,83,181
Brandon Aiyuk,WR,SF,120.59,41,228
Emeka Egbuka,WR,TB,123.11,81,183
Rachaad White,RB,TB,123.11,85,161
Dallas Goedert,TE,PHI,123.13,94,195
Tyler Warren,TE,IND,124.13,94,202
J.J. McCarthy,QB,MIN,124.38,89,213
Matthew Golden,WR,GB,127.89,80,297
Christian Kirk,WR,HOU,131.6,99,201
Tua Tagovailoa,QB,MIA,132.7,112,178
Matthew Stafford,QB,LAR,133.28,100,178
J.K. Dobbins,RB,DEN,133.68,76,246
Rashid Shaheed,WR,NO,134.24,99,194
Keon Coleman,WR,BUF,134.3,95,183
Tank Bigsby,RB,JAC,134.67,92,200
Austin Ekeler,RB,WAS,138.66,101,247
Jonnu Smith,TE,PIT,139.66,80,253
Bryce Young,QB,CAR,141.38,107,213
Colston Loveland,TE,CHI,143.13,100,228
Hunter Henry,TE,NE,143.61,96,208
Cedric Tillman,WR,CLE,145.17,109,179
Ray Davis,RB,BUF,146.63,121,181
Luther Burden III,WR,CHI,146.98,109,238
Michael Penix Jr.,QB,ATL,147.99,113,241
Rashod Bateman,WR,BAL,149.27,120,194
Denver Broncos,DST,DEN,151.97,141,182
Marquise Brown,WR,KC,152.01,109,226
Trey Benson,RB,ARI,152.12,117,250
Jerome Ford,RB,CLE,154.77,101,291
Rico Dowdle,RB,CAR,155.73,98,247
Geno Smith,QB,LV,155.84,118,254
Tre' Harris,WR,LAC,155.9,114,223
Marvin Mims Jr.,WR,DEN,156.24,116,261
Adam Thielen,WR,CAR,156.45,93,209
Isaac Guerendo,RB,SF,156.79,119,259
Tyler Allgeier,RB,ATL,157.3,129,200
Romeo Doubs,WR,GB,160.38,122,220
Braelon Allen,RB,NYJ,161.9,126,260
Philadelphia Eagles,DST,PHI,162.69,150,187
Jayden Higgins,WR,HOU,162.84,106,299
Zach Ertz,TE,WAS,163.26,96,245
Wan'Dale Robinson,WR,NYG,163.26,82,243
Bhayshul Tuten,RB,JAC,163.26,119,351
Kyle Pitts Sr.,TE,ATL,163.55,96,245
Jaylen Wright,RB,MIA,164.88,116,247
Quentin Johnston,WR,LAC,165.2,120,261
Pittsburgh Steelers,DST,PIT,168.69,150,219
Jalen McMillan,WR,TB,169.67,109,287
Baltimore Ravens,DST,BAL,170.92,150,195
Kyle Williams,WR,NE,171.08,109,301
Sam Darnold,QB,SEA,173.32,113,254
Roschon Johnson,RB,CHI,173.91,131,282
Minnesota Vikings,DST,MIN,174.14,160,191
Jaydon Blue,RB,DAL,175.64,126,330
DeMario Douglas,WR,NE,176.55,106,246
Brenton Strange,TE,JAC,178.54,96,299
Xavier Legette,WR,CAR,179.24,135,261
Dylan Sampson,RB,CLE,180.26,116,331
Nick Chubb,RB,HOU,180.4,101,262
Joshua Palmer,WR,BUF,184.28,127,263
Houston Texans,DST,HOU,184.82,166,219
DeAndre Hopkins,WR,BAL,185.35,132,288
Mike Gesicki,TE,CIN,186,96,305
Buffalo Bills,DST,BUF,186.51,150,211
Brandon Aubrey,K,DAL,186.7,167,216
Detroit Lions,DST,DET,187.53,166,219
Kansas City Chiefs,DST,KC,187.61,160,354
Cameron Ward,QB,TEN,188.65,128,334
Pat Freiermuth,TE,PIT,191.23,123,294
Jake Bates,K,DET,192.58,172,217
Cameron Dicker,K,LAC,193.29,179,239
Blake Corum,RB,LAR,194.84,142,321
Los Angeles Chargers,DST,LAC,194.85,184,335
Jalen Coker,WR,CAR,195.72,153,266
Isaiah Likely,TE,BAL,195.91,123,289
Jack Bech,WR,LV,196.15,132,314
MarShawn Lloyd,RB,GB,198.7,144,290
Aaron Rodgers,QB,PIT,200.78,118,307
Michael Wilson,WR,ARI,201.32,164,272
Wil Lutz,K,DEN,202.03,187,281
Seattle Seahawks,DST,SEA,202.74,160,278
Los Angeles Rams,DST,LAR,202.77,150,279
Keenan Allen,WR,FA,203.7,99,383
Alec Pierce,WR,IND,203.92,167,261
Chris Boswell,K,PIT,204.16,169,278
New York Jets,DST,NYJ,205.69,160,355
Green Bay Packers,DST,GB,206.52,166,279
Chase McLaughlin,K,TB,206.53,191,240
Ka'imi Fairbairn,K,HOU,206.59,192,332
Chig Okonkwo,TE,TEN,208.26,96,326
Cade Otton,TE,TB,208.63,154,279
Nick Folk,K,NYJ,210,206,212
Evan McPherson,K,CIN,212.67,186,291
Harrison Butker,K,KC,213.6,192,332
Justice Hill,RB,BAL,214.95,144,293
Tyler Bass,K,BUF,216.79,186,251
Dontayvion Wicks,WR,GB,217.85,165,327
Kareem Hunt,RB,KC,218.57,134,292
Jake Elliott,K,PHI,218.68,186,267
Adonai Mitchell,WR,IND,220.23,173,288
Andrei Iosivas,WR,CIN,220.63,173,302
Jaylin Noel,WR,HOU,222.26,173,315
Mason Taylor,TE,NYJ,222.28,137,302
Jaleel McLaughlin,RB,DEN,222.52,145,300
San Francisco 49ers,DST,SF,224.39,170,355
Darius Slayton,WR,NYG,224.56,167,291
Anthony Richardson Sr.,QB,IND,228.52,100,320
Devaughn Vele,WR,DEN,230.3,189,304
Dalton Schultz,TE,HOU,231.16,154,289
Jason Sanders,K,MIA,231.31,203,332
Tyler Lockett,WR,TEN,231.81,149,290
Elic Ayomanor,WR,TEN,232.49,169,384
Justin Tucker,K,FA,232.67,186,324
Younghoe Koo,K,ATL,233.65,206,256
Calvin Austin III,WR,PIT,233.73,139,289
Dallas Cowboys,DST,DAL,234.38,160,350
Diontae Johnson,WR,CLE,234.54,149,322
Amari Cooper,WR,FA,235.02,106,302
DJ Giddens,RB,IND,238.48,155,333
Pat Bryant,WR,DEN,238.49,167,376
Miles Sanders,RB,DAL,238.81,142,334
Kendre Miller,RB,NO,239.02,181,353
Devin Neal,RB,NO,239.62,148,331
Graham Gano,K,NYG,240.8,197,365
Elijah Arroyo,TE,SEA,241.54,143,335
Jalen Tolbert,WR,DAL,241.81,187,297
Tyler Loop,K,BAL,242.94,192,373
Brandin Cooks,WR,NO,243.35,169,367
Darren Waller,TE,MIA,243.48,157,313
Will Shipley,RB,PHI,244,163,329
Cleveland Browns,DST,CLE,244.15,160,355
Matt Gay,K,WAS,244.2,191,339
Kyle Monangai,RB,CHI,247.04,140,364
Juwan Johnson,TE,NO,247.66,157,314
Ja'Tavion Sanders,TE,CAR,248.53,195,299
Russell Wilson,QB,NYG,248.58,138,323
Elijah Moore,WR,BUF,249.03,203,370
Dyami Brown,WR,JAC,249.08,167,323
Cincinnati Bengals,DST,CIN,249.4,187,333
Brashard Smith,RB,KC,249.73,147,388
Kayshon Boutte,WR,NE,251.43,194,329
Cole Kmet,TE,CHI,251.68,154,324
Roman Wilson,WR,PIT,252.41,162,300
Raheem Mostert,RB,LV,252.47,147,312
Eddy Pineiro,K,FA,253.44,204,315
Audric Estime,RB,DEN,253.95,168,364
Tampa Bay Buccaneers,DST,TB,254.16,166,355
Joshua Karty,K,LAR,254.64,212,329
New York Giants,DST,NYG,255,187,355
New Orleans Saints,DST,NO,255,189,344
Elijah Mitchell,RB,KC,255.06,159,336
Jalen Royals,WR,KC,255.93,198,350
Nick Westbrook-Ikhine,WR,MIA,257.26,196,323
Isaiah Bond,WR,FA,257.61,183,368
Indianapolis Colts,DST,IND,257.83,190,349
New England Patriots,DST,NE,257.97,171,355
Jarquez Hunter,RB,LAR,258.44,161,377
Antonio Gibson,RB,NE,258.96,188,339
Malik Washington,WR,MIA,260.09,207,343
Daniel Jones,QB,IND,260.24,146,323
Dont'e Thornton Jr.,WR,LV,260.82,141,380
Hunter Renfrow,WR,CAR,261,204,372
Keaton Mitchell,RB,BAL,261.08,188,329
Brandon McManus,K,GB,261.47,210,362
Woody Marks,RB,HOU,262.16,147,359
Matt Prater,K,FA,262.63,196,325
Jake Moody,K,SF,263.5,210,372
Atlanta Falcons,DST,ATL,263.5,184,340
Blake Grupe,K,NO,264.14,191,363
Washington Commanders,DST,WAS,265.67,189,355
Tutu Atwell,WR,LAR,266.03,201,381
Theo Johnson,TE,NYG,266.07,180,321
Ollie Gordon II,RB,MIA,266.42,226,326
Cairo Santos,K,CHI,267.43,210,375
Devin Singletary,RB,NYG,268.04,218,326
Daniel Carlson,K,LV,268.32,186,332
Kenneth Gainwell,RB,PIT,269.16,221,392
Las Vegas Raiders,DST,LV,269.25,232,346
Arizona Cardinals,DST,ARI,269.58,166,355
Tahj Brooks,RB,CIN,269.61,156,369
Xavier Restrepo,WR,TEN,269.97,217,333
Trevor Etienne,RB,CAR,270.33,221,316
Will Reichard,K,MIN,272.2,203,332
Noah Gray,TE,KC,274.29,228,350
Tim Patrick,WR,DET,275.37,223,375
Ray-Ray McCloud III,WR,ATL,275.65,173,345
Chicago Bears,DST,CHI,276.28,184,349
Tre Tucker,WR,LV,276.59,207,352
Harold Fannin Jr.,TE,CLE,276.82,225,351
Terrance Ferguson,TE,LAR,277.35,227,348
Jacksonville Jaguars,DST,JAC,278.33,205,351
Jacory Croskey-Merritt,RB,WAS,278.78,163,392
Miami Dolphins,DST,MIA,279.79,150,355
Tyler Shough,QB,NO,280.93,213,358
Jalen Nailor,WR,MIN,280.99,229,355
Deshaun Watson,QB,CLE,281.25,158,356
Parker Washington,WR,JAC,282.35,209,357
Jordan James,RB,SF,282.57,159,378
Jason Myers,K,SEA,282.61,236,333
Ty Johnson,RB,BUF,283,218,321
Josh Reynolds,WR,NYJ,284.79,175,373
Gabe Davis,WR,FA,284.86,222,371
Luke McCaffrey,WR,WAS,286.24,204,370
Tyler Higbee,TE,LAR,286.42,208,348
Chad Ryland,K,ARI,287,243,369
Sean Tucker,RB,TB,287.18,230,336
Oronde Gadsden II,TE,LAC,288.73,229,354
Noah Fant,TE,CIN,288.77,235,363
Zack Moss,RB,FA,288.79,236,365
Taysom Hill,TE,NO,288.99,210,354
Joe Flacco,QB,CLE,290.05,212,387
Tyler Conklin,TE,LAC,290.2,202,337
Sincere McCormick,RB,LV,290.61,188,369
Noah Brown,WR,WAS,291.38,222,348
Isaac TeSlaa,WR,DET,291.39,217,379
Christian Watson,WR,GB,292,243,368
Dameon Pierce,RB,HOU,292.09,233,380
Michael Gallup,WR,WAS,292.33,224,339
Khalil Herbert,RB,IND,292.36,232,342
Kimani Vidal,RB,LAC,292.39,188,357
Isaiah Davis,RB,NYJ,292.75,217,386
Tory Horton,WR,SEA,293.92,231,374
Tez Johnson,WR,TB,295.52,244,377
Cam Little,K,JAC,297.05,192,374
Ben Sinnott,TE,WAS,297.19,253,356
Jaxson Dart,QB,NYG,297.38,231,338
Julian Fleming,WR,FA,298,295,301
Jordan Whittington,WR,LAR,298.28,207,378
Alexander Mattison,RB,MIA,298.5,239,382
Tai Felton,WR,MIN,298.55,235,350
Jermaine Burton,WR,CIN,298.8,268,386
Marquez Valdes-Scantling,WR,SEA,300.85,237,369
Will Dissly,TE,LAC,301.02,228,352
Damien Martinez,RB,SEA,301.43,218,369
Samaje Perine,RB,CIN,302.35,221,392
Greg Dortch,WR,ARI,302.72,263,370
Bub Means,WR,NO,304.5,263,346
A.J. Dillon,RB,PHI,305.76,225,386
Phil Mafah,RB,DAL,306.78,174,342
Jonathon Brooks,RB,CAR,307.88,268,363
Gardner Minshew II,QB,KC,308.5,275,342
Savion Williams,WR,GB,309.25,236,368
John Metchie III,WR,HOU,309.45,246,385
Allen Lazard,WR,NYJ,309.77,217,377
Kyle Juszczyk,RB,SF,309.8,237,392
KaVontae Turpin,WR,DAL,310.54,221,378
Hunter Luepke,RB,DAL,310.75,282,369
Ty Chandler,RB,MIN,311.06,274,379
Cam Akers,RB,NO,311.09,236,393
Tank Dell,WR,HOU,311.41,261,390
Luke Lachey,TE,HOU,312.25,280,384
Emanuel Wilson,RB,GB,312.56,227,386
Antwane Wells Jr.,WR,NYG,312.62,288,378
Troy Franklin,WR,DEN,313.3,240,377
Gus Edwards,RB,FA,313.31,230,388
Tennessee Titans,DST,TEN,313.5,267,360
Raheim Sanders,RB,LAC,313.78,262,337
Javon Baker,WR,NE,314.2,238,358
Shedeur Sanders,QB,CLE,314.42,230,383
Demarcus Robinson,WR,SF,314.94,217,379
Chris Brooks,RB,GB,315.76,289,386
DJ Chark Jr.,WR,ATL,317.5,285,350
Jaydn Ott,RB,FA,319,303,335
Chris Rodriguez Jr.,RB,WAS,319.61,274,380
Mack Hollins,WR,NE,320.69,256,375
Treylon Burks,WR,TEN,321.67,286,357
Ameer Abdullah,RB,SF,322.23,282,392
Zamir White,RB,LV,322.61,288,392
Jalen Milroe,QB,SEA,323.09,269,380
Chimere Dike,WR,TEN,323.21,240,377
Deuce Vaughn,RB,DAL,323.33,265,377
Robert Woods,WR,PIT,323.4,204,395
Will Howard,QB,PIT,323.8,309,344
Cordarrelle Patterson,RB,FA,325,256,369
Donovan Edwards,RB,NYJ,325.19,274,382
AJ Barner,TE,SEA,325.44,226,394
Aidan O'Connell,QB,LV,326,307,346
C.J. Ham,RB,MIN,326,288,353
Tyler Johnson,WR,NYJ,326.25,246,375
Theo Wease Jr.,WR,MIA,326.31,291,385
Michael Mayer,TE,LV,327.48,273,357
Alec Ingold,RB,MIA,327.6,283,393
Kalif Raymond,WR,DET,327.8,285,361
Austin Hooper,TE,NE,328.08,260,365
Curtis Samuel,WR,BUF,328.67,276,375
LeQuint Allen Jr.,RB,JAC,328.84,287,365
K.J. Osborn,WR,WAS,331.5,268,395
Kirk Cousins,QB,ATL,331.63,235,385
Dawson Knox,TE,BUF,331.95,273,366
Jahan Dotson,WR,PHI,332.26,266,372
Dillon Gabriel,QB,CLE,332.47,281,385
Trey Sermon,RB,PIT,332.57,290,393
Arian Smith,WR,NYJ,334,272,384
Ja'Quinden Jackson,RB,JAC,334.5,287,380
Emari Demercado,RB,ARI,335.13,281,382
Jaylin Lane,WR,WAS,335.3,231,387
Luke Musgrave,TE,GB,335.34,294,374
Spencer Rattler,QB,NO,335.94,278,388
D'Ernest Johnson,RB,FA,336.43,304,386
Kenny Pickett,QB,CLE,337.04,284,387
Van Jefferson,WR,TEN,337.88,261,384
Jameis Winston,QB,NYG,338.93,275,385
Gunnar Helm,TE,TEN,340,273,391
Efton Chism III,WR,NE,340,290,370
Ezekiel Elliott,RB,FA,340,336,344
Tyrod Taylor,QB,NYJ,341.13,309,387
Craig Reynolds,RB,DET,342.09,293,382
Dare Ogunbowale,RB,HOU,343.67,309,365
Ja'Lynn Polk,WR,NE,343.82,298,380
Chris Tyree,RB,NO,344.83,311,392
Sam Howell,QB,MIN,346,330,367
Foster Moreau,TE,NO,346.58,280,373
Kalel Mullings,RB,TEN,346.63,313,392
Olamide Zaccheaus,WR,CHI,347.14,270,395
Tyler Badie,RB,DEN,347.25,296,378
Malik Willis,QB,GB,347.5,341,358
Michael Burton,RB,DEN,347.67,296,388
Josh Whyle,TE,TEN,348.6,305,374
Luke Schoonmaker,TE,DAL,349.58,320,391
Greg Dulcich,TE,NYG,350.57,335,363
Derius Davis,WR,LAC,350.8,319,384
Jake Bobo,WR,SEA,352,327,372
Zach Wilson,QB,MIA,352.2,329,397
David Bell,WR,CLE,352.33,294,390
Daniel Bellinger,TE,NYG,352.33,319,376
KeAndre Lambert-Smith,WR,LAC,352.36,315,390
DeeJay Dallas,RB,ARI,352.5,312,393
Rondale Moore,WR,MIN,352.67,327,370
Marcus Mariota,QB,WAS,353.2,329,367
Mecole Hardman Jr.,WR,GB,353.5,339,368
Tommy Tremble,TE,CAR,353.59,324,380
Jacob Cowing,WR,SF,354.05,304,396
Kendrick Bourne,WR,NE,354.47,290,379
Colby Parkinson,TE,LAR,354.67,344,360
Clyde Edwards-Helaire,RB,NO,354.71,310,384
Carson Steele,RB,KC,354.75,336,382
Julius Chestnut,RB,TEN,354.8,328,393
Joe Milton III,QB,DAL,355,320,392
Jimmy Horn Jr.,WR,CAR,355,327,383
Mitchell Evans,TE,CAR,355.5,332,391
Jimmy Garoppolo,QB,LAR,355.5,330,381
Jalin Hyatt,WR,NYG,355.94,297,395
Jordan Watkins,WR,SF,356.4,303,395
Marcus Yarns,RB,NO,356.4,325,384
Pierre Strong Jr.,RB,CLE,356.86,326,385
Mason Rudolph,QB,PIT,358.33,324,397
Nick Nash,WR,ATL,359,334,384
Jeremy McNichols,RB,WAS,360,317,377
Malachi Corley,WR,NYJ,360.36,311,396
Jonathan Mingo,WR,DAL,360.42,312,395
Darnell Washington,TE,PIT,360.57,333,391
David Moore,WR,CAR,361,349,373
Cade Stover,TE,HOU,361.35,318,394
Kylen Granson,TE,PHI,362,345,376
Cedrick Wilson Jr.,WR,NO,362,345,379
Rasheen Ali,RB,BAL,362.5,337,388
Dylan Laube,RB,LV,362.5,353,372
Josh Oliver,TE,MIN,362.81,340,389
JuJu Smith-Schuster,WR,KC,363.29,304,390
KhaDarel Hodge,WR,ATL,363.63,345,375
Zay Jones,WR,ARI,364,302,396
Grant Calcaterra,TE,PHI,364.33,305,394
Michael Carter,RB,ARI,366,347,388
Devontez Walker,WR,BAL,366.75,321,396
John Bates,TE,WAS,367.33,353,385
Cooper Rush,QB,BAL,368.5,350,387
Jeremy Ruckert,TE,NYJ,368.67,333,394
Julian Hill,TE,MIA,368.8,328,389
Brevin Jordan,TE,HOU,368.8,335,383
Tyler Goodson,RB,IND,369.17,342,388
Stone Smartt,TE,NYJ,370.67,340,389
Hassan Haskins,RB,LAC,372.5,342,388
Kyle Trask,QB,TB,372.5,358,387
Jake Browning,QB,CIN,372.67,346,387
Elijah Higgins,TE,ARI,373.58,319,394
Taylor Heinicke,QB,LAC,373.67,347,389
Patrick Taylor Jr.,RB,SF,374.5,367,382
Ronnie Rivers,RB,LAR,375.5,365,386
Johnny Mundt,TE,JAC,376,376,376
Tanner Hudson,TE,CIN,376.4,351,391
Harrison Bryant,TE,PHI,377.8,356,394
Sione Vaki,RB,DET,379,365,393
Mac Jones,QB,SF,379.2,358,397
Luke Farrell,TE,SF,380,371,389
Drew Sample,TE,CIN,380.33,374,391
Eric Gray,RB,NYG,383,373,393
Adam Trautman,TE,DEN,391,385,394
