player,pos,team,ecr,best,worst
Christian McCaffrey,RB,SF,1.36,1,8
CeeDee Lamb,WR,DAL,2.29,2,5
Tyreek Hill,WR,MIA,3.65,2,8
Amon-Ra St. Brown,WR,DET,4.77,2,9
Ja'Marr Chase,WR,CIN,4.85,2,7
Justin Jefferson,WR,MIN,6.1,4,10
Bijan Robinson,RB,ATL,6.64,1,8
Breece Hall,RB,NYJ,6.83,1,11
A.J. Brown,WR,PHI,9.67,6,13
Garrett Wilson,WR,NYJ,10.36,6,15
Puka Nacua,WR,LAR,11.98,9,20
Jahmyr Gibbs,RB,DET,12.74,8,17
Jonathan Taylor,RB,IND,15.29,9,42
Saquon Barkley,RB,PHI,16.48,11,49
Marvin Harrison Jr.,WR,ARI,16.92,9,36
Davante Adams,WR,LV,17.25,10,36
Chris Olave,WR,NO,19.73,14,33
Drake London,WR,ATL,21.24,14,50
Josh Allen,QB,BUF,21.7,18,36
Michael Pittman Jr.,WR,IND,22.54,14,44
Travis Etienne Jr.,RB,JAC,24.64,13,42
Brandon Aiyuk,WR,SF,25.14,12,43
Jalen Hurts,QB,PHI,27.3,18,46
Mike Evans,WR,TB,27.65,19,43
Jaylen Waddle,WR,MIA,27.73,15,47
Kyren Williams,RB,LAR,29.95,10,52
Sam LaPorta,TE,DET,30.24,23,78
Nico Collins,WR,HOU,30.65,19,61
Patrick Mahomes II,QB,KC,30.96,18,54
Travis Kelce,TE,KC,32.15,25,78
Lamar Jackson,QB,BAL,32.74,18,51
DJ Moore,WR,CHI,33.07,19,50
Cooper Kupp,WR,LAR,34.58,14,65
DK Metcalf,WR,SEA,35.6,21,55
Isiah Pacheco,RB,KC,35.67,13,55
DeVonta Smith,WR,PHI,35.96,23,53
Deebo Samuel Sr.,WR,SF,36.14,23,61
De'Von Achane,RB,MIA,38.07,11,74
Derrick Henry,RB,BAL,38.68,12,56
Rachaad White,RB,TB,39.8,17,66
Malik Nabers,WR,NYG,41.29,20,87
Amari Cooper,WR,CLE,41.71,24,61
Stefon Diggs,WR,HOU,41.99,23,75
Alvin Kamara,RB,NO,46.48,16,79
Joe Mixon,RB,HOU,48.56,17,66
Anthony Richardson,QB,IND,48.74,18,82
Josh Jacobs,RB,GB,48.83,22,76
James Cook,RB,BUF,49.36,17,74
Zay Flowers,WR,BAL,49.69,24,81
Trey McBride,TE,ARI,51.14,25,85
C.J. Stroud,QB,HOU,51.74,29,83
Christian Kirk,WR,JAC,52.14,30,95
Tee Higgins,WR,CIN,53.48,35,80
Keenan Allen,WR,CHI,54.42,23,80
George Pickens,WR,PIT,54.86,32,89
Mark Andrews,TE,BAL,56.86,25,96
Terry McLaurin,WR,WAS,57.5,37,75
Kenneth Walker III,RB,SEA,57.69,42,74
Joe Burrow,QB,CIN,58.79,46,85
Kyler Murray,QB,ARI,58.81,34,86
Tank Dell,WR,HOU,59.87,34,93
Dak Prescott,QB,DAL,59.99,34,84
Chris Godwin,WR,TB,62.89,30,95
Aaron Jones,RB,MIN,63.74,38,86
Rhamondre Stevenson,RB,NE,64.99,42,88
Dalton Kincaid,TE,BUF,67.61,48,100
Jordan Love,QB,GB,67.65,46,101
James Conner,RB,ARI,69.2,45,101
Diontae Johnson,WR,CAR,69.6,38,114
David Montgomery,RB,DET,72.1,55,102
Calvin Ridley,WR,TEN,72.23,32,114
Rashee Rice,WR,KC,73.44,28,120
Zamir White,RB,LV,75,52,102
Evan Engram,TE,JAC,75.71,55,96
Brock Purdy,QB,SF,75.96,54,104
D'Andre Swift,RB,CHI,76.6,55,101
Jayden Reed,WR,GB,78.65,53,121
Najee Harris,RB,PIT,80.27,56,113
Jaylen Warren,RB,PIT,81.92,62,133
DeAndre Hopkins,WR,TEN,82.55,50,109
Hollywood Brown,WR,KC,85.02,50,141
Jayden Daniels,QB,WAS,86.35,53,235
Kyle Pitts,TE,ATL,87.4,48,111
Tua Tagovailoa,QB,MIA,87.82,60,112
Raheem Mostert,RB,MIA,88.1,56,121
George Kittle,TE,SF,88.57,48,105
Jaxon Smith-Njigba,WR,SEA,89.42,59,127
Jared Goff,QB,DET,89.5,58,116
Tony Pollard,RB,TEN,89.67,66,131
Javonte Williams,RB,DEN,94.21,67,168
Caleb Williams,QB,CHI,94.65,58,138
Jordan Addison,WR,MIN,95.45,63,135
Jake Ferguson,TE,DAL,95.62,73,110
David Njoku,TE,CLE,95.67,73,111
Brian Robinson Jr.,RB,WAS,95.95,69,121
Trevor Lawrence,QB,JAC,96.51,70,118
Tyjae Spears,RB,TEN,96.52,67,140
Justin Herbert,QB,LAC,99.32,70,133
Xavier Worthy,WR,KC,99.6,75,115
Courtland Sutton,WR,DEN,100.45,80,144
Ladd McConkey,WR,LAC,101.4,62,292
Christian Watson,WR,GB,102.67,59,139
Devin Singletary,RB,NYG,102.67,69,134
Zack Moss,RB,CIN,103.55,71,145
Dallas Goedert,TE,PHI,104.73,85,143
Austin Ekeler,RB,WAS,104.93,64,159
Kirk Cousins,QB,ATL,105.76,72,138
Rome Odunze,WR,CHI,107.32,61,261
Tyler Lockett,WR,SEA,108.56,87,139
Brock Bowers,TE,LV,108.68,85,225
Jonathon Brooks,RB,CAR,111.35,67,287
Matthew Stafford,QB,LAR,112.1,83,134
Pat Freiermuth,TE,PIT,116.33,97,156
Chase Brown,RB,CIN,118.24,77,181
Ezekiel Elliott,RB,DAL,118.36,77,159
Jakobi Meyers,WR,LV,118.96,89,169
Brian Thomas Jr.,WR,JAC,119,63,284
Aaron Rodgers,QB,NYJ,119.93,83,196
Dalton Schultz,TE,HOU,120.08,100,157
T.J. Hockenson,TE,MIN,121.9,94,208
Jameson Williams,WR,DET,122.7,87,173
Gus Edwards,RB,LAC,123.79,92,155
Jerome Ford,RB,CLE,123.98,69,151
Curtis Samuel,WR,BUF,124.69,78,183
Deshaun Watson,QB,CLE,124.76,103,155
Cole Kmet,TE,CHI,126.24,97,172
Nick Chubb,RB,CLE,126.69,76,236
Keon Coleman,WR,BUF,127.99,68,287
Baker Mayfield,QB,TB,130.9,107,168
Joshua Palmer,WR,LAC,132.73,81,209
Trey Benson,RB,ARI,132.83,77,164
Zach Charbonnet,RB,SEA,132.85,102,168
Geno Smith,QB,SEA,133.12,103,213
Josh Downs,WR,IND,134.33,93,226
Brandin Cooks,WR,DAL,137.51,99,203
Mike Williams,WR,NYJ,137.8,95,216
Rashid Shaheed,WR,NO,138.23,95,196
Romeo Doubs,WR,GB,138.65,99,183
Luke Musgrave,TE,GB,141.5,100,225
Blake Corum,RB,LAR,141.83,117,227
Antonio Gibson,RB,NE,142.89,102,180
Will Levis,QB,TEN,142.89,118,241
Chuba Hubbard,RB,CAR,143.36,101,176
Jerry Jeudy,WR,CLE,147.74,109,201
Jaleel McLaughlin,RB,DEN,148.06,86,188
Khalil Shakir,WR,BUF,149.11,84,233
Jahan Dotson,WR,WAS,151.24,99,238
Hunter Henry,TE,NE,153.32,110,253
Kendre Miller,RB,NO,153.51,125,218
Ty Chandler,RB,MIN,153.6,126,237
Baltimore Ravens,DST,BAL,155.72,150,210
Rico Dowdle,RB,DAL,157.19,119,262
Tyler Allgeier,RB,ATL,158.26,129,221
