player,pos,team,ecr,best,worst
Adam Thielen,WR,CAR,158.35,95,246
Gabe Davis,WR,JAC,161.08,115,201
Derek Carr,QB,NO,161.3,124,275
San Francisco 49ers,DST,SF,161.91,149,187
Daniel Jones,QB,NYG,161.96,112,307
MarShawn Lloyd,RB,GB,162.67,119,305
New York Jets,DST,NYJ,167.88,150,184
J.K. Dobbins,RB,LAC,168.12,99,287
Dallas Cowboys,DST,DAL,168.97,150,193
DeMario Douglas,WR,NE,169.3,115,243
Roschon Johnson,RB,CHI,170.56,123,282
Cade Otton,TE,TB,171.44,123,235
Cleveland Browns,DST,CLE,172.16,150,234
Adonai Mitchell,WR,IND,173.69,114,294
Khalil Herbert,RB,CHI,173.77,134,265
Dontayvion Wicks,WR,GB,174.79,106,229
Bryce Young,QB,CAR,176.57,133,275
Michael Wilson,WR,ARI,181,127,238
Wan'Dale Robinson,WR,NYG,182.17,115,229
Chigoziem Okonkwo,TE,TEN,182.93,127,308
Kansas City Chiefs,DST,KC,183.88,166,219
Rashod Bateman,WR,BAL,184.39,122,229
Pittsburgh Steelers,DST,PIT,184.9,166,211
Ja'Lynn Polk,WR,NE,184.98,106,261
Tyler Conklin,TE,NYJ,185.65,123,299
Marvin Mims Jr.,WR,DEN,185.79,148,281
Xavier Legette,WR,CAR,186.28,134,297
Quentin Johnston,WR,LAC,186.49,139,271
Russell Wilson,QB,PIT,187.04,124,282
Justin Tucker,K,BAL,187.19,172,191
Buffalo Bills,DST,BUF,187.49,160,260
Jaylen Wright,RB,MIA,188.78,116,311
Darnell Mooney,WR,ATL,189.02,127,261
Miami Dolphins,DST,MIA,189.41,150,279
Ray Davis,RB,BUF,189.49,144,303
Brandon Aubrey,K,DAL,191.06,184,281
Philadelphia Eagles,DST,PHI,192.84,170,355
Houston Texans,DST,HOU,195.62,160,234
Harrison Butker,K,KC,196.24,186,224
New Orleans Saints,DST,NO,196.39,184,279
Elijah Mitchell,RB,SF,197.2,151,291
Juwan Johnson,TE,NO,197.86,130,269
Jason Sanders,K,MIA,199.7,190,252
Jermaine Burton,WR,CIN,200.08,114,314
Noah Fant,TE,SEA,204.96,123,299
Elijah Moore,WR,CLE,205.08,127,272
Ricky Pearsall,WR,SF,205.47,149,276
Roman Wilson,WR,PIT,205.56,125,288
Ka'imi Fairbairn,K,HOU,205.91,191,337
Kimani Vidal,RB,LAC,206.07,131,327
Tyler Bass,K,BUF,207.03,175,239
Dameon Pierce,RB,HOU,207.83,159,283
Jake Elliott,K,PHI,208.05,192,290
Troy Franklin,WR,DEN,208.09,162,290
Chicago Bears,DST,CHI,208.72,160,355
Jake Moody,K,SF,209.24,190,251
Taysom Hill,TE,NO,209.93,130,321
Ben Sinnott,TE,WAS,211.7,123,299
Younghoe Koo,K,ATL,212.56,197,249
Kenneth Gainwell,RB,PHI,213.97,156,265
Tucker Kraft,TE,GB,216.27,123,330
Demarcus Robinson,WR,LAR,217.96,148,297
Bucky Irving,RB,TB,218.6,145,309
Minnesota Vikings,DST,MIN,219.32,170,330
Evan McPherson,K,CIN,219.7,192,279
Isaiah Likely,TE,BAL,220.3,150,294
Darius Slayton,WR,NYG,221.85,153,285
Tyler Boyd,WR,TEN,222.38,146,336
Jalin Hyatt,WR,NYG,222.59,164,314
Jonnu Smith,TE,MIA,223.47,130,424
Javon Baker,WR,NE,223.54,138,315
Will Reichard,K,MIN,224,197,251
Alexander Mattison,RB,LV,224.14,161,303
Miles Sanders,RB,CAR,224.63,155,293
J.J. McCarthy,QB,MIN,225.78,130,343
Keaton Mitchell,RB,BAL,226.42,159,325
Zay Jones,WR,ARI,226.71,167,375
Malachi Corley,WR,NYJ,228.48,141,326
Tyrone Tracy Jr.,RB,NYG,228.69,131,337
Audric Estime,RB,DEN,229.03,161,336
AJ Dillon,RB,GB,229.79,155,311
Clyde Edwards-Helaire,RB,KC,231.43,159,284
Dustin Hopkins,K,CLE,232.41,206,311
Braelon Allen,RB,NYJ,232.82,155,327
D'Onta Foreman,RB,CLE,232.87,151,315
Mike Gesicki,TE,CIN,233.87,157,280
Indianapolis Colts,DST,IND,234.07,184,355
Bo Nix,QB,DEN,234.23,133,324
Cameron Dicker,K,LAC,234.47,210,332
Kendrick Bourne,WR,NE,235.63,177,290
Matt Gay,K,IND,236,183,281
Michael Mayer,TE,LV,240.06,130,335
Drake Maye,QB,NE,241.68,138,320
Odell Beckham Jr.,WR,MIA,242.83,175,292
Jonathan Mingo,WR,CAR,243.23,164,343
New England Patriots,DST,NE,244.82,174,331
Rondale Moore,WR,ATL,244.84,196,313
Jamaal Williams,RB,NO,245.18,161,293
Justice Hill,RB,BAL,245.78,156,325
Cairo Santos,K,CHI,246.1,192,334
Greg Dulcich,TE,DEN,247.56,154,358
Treylon Burks,WR,TEN,247.99,183,361
Washington Commanders,DST,WAS,248,219,277
Jalen McMillan,WR,TB,248.72,167,306
Jelani Woods,TE,IND,248.9,154,344
Detroit Lions,DST,DET,249.4,193,355
Jason Myers,K,SEA,250.81,212,327
Cam Little,K,JAC,251,249,252
Jacksonville Jaguars,DST,JAC,251.66,187,339
Samaje Perine,RB,DEN,251.75,163,291
Ja'Tavion Sanders,TE,CAR,251.87,195,330
Jake Bates,K,DET,253,233,281
Denver Broncos,DST,DEN,253.23,166,355
DJ Chark Jr.,WR,LAC,254.37,196,339
Tank Bigsby,RB,JAC,256.35,161,329
A.T. Perry,WR,NO,256.92,198,309
Luke McCaffrey,WR,WAS,257.21,173,342
Zach Ertz,TE,WAS,259.13,135,433
Gerald Everett,TE,CHI,259.74,172,354
Brandon McManus,K,FA,259.8,214,332
Dawson Knox,TE,BUF,260.96,180,301
Cincinnati Bengals,DST,CIN,261.41,183,355
Jalen Tolbert,WR,DAL,261.97,182,378
Justin Fields,QB,PIT,264.42,118,334
Alec Pierce,WR,IND,265.19,209,337
Las Vegas Raiders,DST,LV,266.62,187,397
Devontez Walker,WR,BAL,267.14,205,380
Greg Dortch,WR,ARI,267.29,195,425
Trey Palmer,WR,TB,267.49,177,311
K.J. Osborn,WR,NE,267.54,204,340
Daniel Carlson,K,LV,268.16,191,332
Josh Reynolds,WR,DEN,268.39,222,302
Will Shipley,RB,PHI,269.13,218,339
Gardner Minshew II,QB,LV,269.15,152,352
Cedric Tillman,WR,CLE,269.62,207,324
Daniel Bellinger,TE,NYG,269.94,166,343
Michael Thomas,WR,FA,271.02,177,334
Andrei Iosivas,WR,CIN,271.34,194,372
Tyler Higbee,TE,LAR,272.81,195,376
Green Bay Packers,DST,GB,272.95,187,432
Greg Joseph,K,GB,273.6,210,422
Sam Darnold,QB,MIN,273.74,152,347
Dylan Laube,RB,LV,273.79,188,328
Wil Lutz,K,DEN,274.43,205,430
Greg Zuerlein,K,NYJ,274.82,197,332
Seattle Seahawks,DST,SEA,276.43,199,400
Deuce Vaughn,RB,DAL,276.66,230,372
Colby Parkinson,TE,LAR,277.07,189,419
Los Angeles Chargers,DST,LAC,277.6,224,403
Hayden Hurst,TE,LAC,277.71,180,376
Matt Prater,K,ARI,278.5,217,386
Michael Carter,RB,ARI,278.7,176,344
Deneric Prince,RB,KC,278.82,213,360
Evan Hull,RB,IND,282.81,181,325
Blake Grupe,K,NO,283.47,228,332
Brenden Rice,WR,LAC,285.07,226,396
Trey Sermon,RB,IND,287.03,218,353
Michael Gallup,WR,FA,288.64,257,346
Jerick McKinnon,RB,FA,288.84,188,380
New York Giants,DST,NYG,289.33,190,412
Graham Gano,K,NYG,289.33,221,408
Kadarius Toney,WR,KC,289.91,220,379
Theo Johnson,TE,NYG,290.09,218,359
Jeff Wilson Jr.,RB,MIA,290.35,247,368
Noah Brown,WR,HOU,290.41,226,318
Jordan Mason,RB,SF,290.57,231,398
Tampa Bay Buccaneers,DST,TB,291.33,211,420
Jaret Patterson,RB,LAC,291.5,237,353
Aidan O'Connell,QB,LV,292.06,188,338
Tutu Atwell,WR,LAR,292.09,255,429
Jacob Cowing,WR,SF,292.47,263,376
Cordarrelle Patterson,RB,PIT,293.09,176,331
Los Angeles Rams,DST,LAR,293.33,194,417
Chase McLaughlin,K,TB,293.4,212,395
Isaac Guerendo,RB,SF,294.14,236,352
Malik Washington,WR,MIA,294.84,215,418
D'Ernest Johnson,RB,JAC,295.3,227,326
Robert Woods,WR,HOU,295.54,222,366
Kalif Raymond,WR,DET,296.97,209,401
Israel Abanikanda,RB,NYJ,297.05,237,337
Jacoby Brissett,QB,NE,297.33,193,358
Pierre Strong Jr.,RB,CLE,297.81,236,342
Tyler Scott,WR,CHI,298.62,244,365
Eddy Pineiro,K,CAR,298.67,209,374
Emari Demercado,RB,ARI,298.81,259,328
Eric Gray,RB,NYG,299.31,232,336
Chris Rodriguez Jr.,RB,WAS,300.25,250,375
Kareem Hunt,RB,FA,300.33,256,374
Logan Thomas,TE,SF,301.88,255,377
Rasheen Ali,RB,BAL,301.97,250,365
Carolina Panthers,DST,CAR,302.2,190,416
Chase Edmonds,RB,TB,302.85,243,392
Hunter Renfrow,WR,FA,304.54,257,371
Nelson Agholor,WR,BAL,304.68,243,421
JuJu Smith-Schuster,WR,NE,305.03,238,428
Tre Tucker,WR,LV,305.03,238,409
Kyle Juszczyk,RB,SF,305.5,270,336
Parris Campbell,WR,PHI,306.59,229,396
Atlanta Falcons,DST,ATL,308.5,193,414
Chris Boswell,K,PIT,309.92,252,407
Allen Lazard,WR,NYJ,309.96,243,426
Salvon Ahmed,RB,MIA,311.08,286,364
Marquez Valdes-Scantling,WR,BUF,311.21,244,405
Hassan Haskins,RB,TEN,311.5,287,336
Malik Davis,RB,DAL,312,246,357
Davis Allen,TE,LAR,312.27,202,376
Riley Patterson,K,WAS,312.5,223,402
Joshua Kelley,RB,FA,313.45,265,360
Bo Melton,WR,GB,313.45,266,399
Michael Penix Jr.,QB,ATL,313.61,187,385
Dalvin Cook,RB,FA,313.69,265,379
Xavier Gipson,WR,NYJ,314.62,258,368
Cornelius Johnson,WR,LAC,314.67,298,342
Ronnie Rivers,RB,LAR,316.89,283,359
Cam Akers,RB,HOU,317.25,265,377
Jalen Nailor,WR,MIN,317.5,292,343
Jordan Whittington,WR,LAR,317.75,270,374
Casey Washington,WR,ATL,318.6,302,350
Chris Evans,RB,CIN,319,306,330
Calvin Austin III,WR,PIT,319.23,260,381
Isaiah Spiller,RB,LAC,319.43,290,394
Royce Freeman,RB,DAL,320.58,227,384
Kyle Philips,WR,TEN,321,318,324
Donovan Peoples-Jones,WR,DET,321.04,274,423
Dillon Johnson,RB,CAR,321.5,300,343
Ty Johnson,RB,BUF,321.62,265,369
Matt Breida,RB,FA,321.66,296,383
Leonard Fournette,RB,FA,322.5,300,345
Jawhar Jordan,RB,HOU,322.52,265,393
Donald Parham Jr.,TE,LAC,322.63,286,434
Jauan Jennings,WR,SF,322.83,264,383
Derius Davis,WR,LAC,323.5,301,346
Olamide Zaccheaus,WR,WAS,323.5,315,332
Skyy Moore,WR,KC,323.7,266,410
Spencer Rattler,QB,NO,324,294,380
Tanner Hudson,TE,CIN,324.11,228,405
Van Jefferson,WR,PIT,324.37,222,404
Blake Watson,RB,DEN,324.42,270,389
Erick All Jr.,TE,CIN,324.71,260,385
Sean Tucker,RB,TB,325.86,291,392
Sam Howell,QB,SEA,326.11,188,435
Will Dissly,TE,LAC,326.3,260,378
Brandon Powell,WR,MIN,326.59,246,376
Keaontay Ingram,RB,KC,327.36,265,382
Michael Wiley,RB,WAS,327.5,313,342
Nyheim Hines,RB,CLE,327.63,282,392
Nick Folk,K,TEN,328,286,370
Kenny Pickett,QB,PHI,328.22,197,382
Terrace Marshall Jr.,WR,CAR,328.6,290,383
Josh Whyle,TE,TEN,329.5,299,360
DeeJay Dallas,RB,ARI,329.8,287,365
Justyn Ross,WR,KC,330,286,355
John Metchie III,WR,HOU,331.33,240,427
Drew Lock,QB,NYG,331.46,218,411
Braxton Berrios,WR,MIA,331.67,285,375
Latavius Murray,RB,FA,332.12,304,392
Parker Washington,WR,JAC,333.05,257,382
Justin Watson,WR,KC,335.06,285,385
Joe Flacco,QB,IND,335.09,284,385
Noah Gray,TE,KC,335.13,294,399
Ameer Abdullah,RB,LV,337,312,386
Craig Reynolds,RB,DET,337.29,307,413
Cedrick Wilson Jr.,WR,NO,337.4,292,379
Tim Patrick,WR,DEN,337.42,291,391
Kylen Granson,TE,IND,337.45,289,396
Kendall Milton,RB,PHI,337.5,260,406
Jalen Brooks,WR,DAL,337.67,309,389
Isaiah Hodgins,WR,NYG,339,295,384
Kenny McIntosh,RB,SEA,339.38,309,393
Mac Jones,QB,JAC,339.8,284,385
Zach Evans,RB,LAR,340,303,363
Andy Dalton,QB,CAR,340,295,385
Isaiah Davis,RB,NYJ,341.2,293,382
Cade Stover,TE,HOU,341.31,291,371
Ainias Smith,WR,PHI,341.65,290,390
Raheem Blackshear,RB,CAR,342.25,318,357
Ryan Flournoy,WR,DAL,342.67,285,388
Johnny Mundt,TE,MIN,342.86,294,366
Robert Tonyan,TE,MIN,343,261,394
Jase McClellan,RB,ATL,343.5,303,377
Boston Scott,RB,LAR,343.6,312,385
Johnny Wilson,WR,PHI,344,285,394
Frank Gore Jr.,RB,BUF,344.56,310,390
Cody Schrader,RB,SF,344.67,329,373
Lucas Krull,TE,DEN,345,305,389
Bub Means,WR,NO,345,276,396
Brevin Jordan,TE,HOU,345.13,283,388
Trayveon Williams,RB,CIN,345.29,322,387
Chris Moore,WR,ARI,346.5,311,384
Charlie Jones,WR,CIN,346.71,295,395
Kene Nwangwu,RB,MIN,347,317,382
Carson Wentz,QB,KC,347,297,397
Jameis Winston,QB,CLE,347.21,293,390
Josh Oliver,TE,MIN,347.36,260,387
Trey Lance,QB,DAL,348,311,385
Jarrett Stidham,QB,DEN,348.43,307,431
Austin Hooper,TE,NE,348.75,328,371
Mecole Hardman Jr.,WR,KC,348.8,306,388
KaVontae Turpin,WR,DAL,349,286,395
Xavier Hutchinson,WR,HOU,349.56,283,392
Jeremy Ruckert,TE,NYJ,350.18,289,387
Isaiah McKenzie,WR,NYG,350.2,320,392
Zach Wilson,QB,DEN,350.2,320,383
Joshua Dobbs,QB,SF,350.67,292,385
Chase Claypool,WR,BUF,351.89,318,390
Tyrod Taylor,QB,NYJ,352.6,292,397
Jamison Crowder,WR,WAS,353,311,385
Darnell Washington,TE,PIT,353.5,287,374
Keilan Robinson,RB,JAC,353.5,325,382
Patrick Taylor Jr.,RB,SF,353.5,330,377
Brock Wright,TE,DET,353.75,344,379
Jaheim Bell,TE,NE,354.21,323,393
Foster Moreau,TE,NO,354.6,324,391
Tyquan Thornton,WR,NE,354.8,318,378
Tommy Tremble,TE,CAR,355,325,381
Chris Brooks,RB,MIA,355.5,346,365
Adam Trautman,TE,DEN,355.7,299,376
Luke Schoonmaker,TE,DAL,357.14,331,385
Kevin Harris,RB,NE,357.17,327,403
Jake Browning,QB,CIN,357.79,296,397
Quez Watkins,WR,PIT,357.89,327,393
Trenton Irwin,WR,CIN,358.73,301,406
Jake Bobo,WR,SEA,359,314,387
Avery Williams,RB,ATL,359.5,331,388
Jared Wiley,TE,KC,359.71,338,394
Connor Heyward,TE,PIT,360.5,356,365
David Bell,WR,CLE,361,332,384
Devin Duvernay,WR,JAC,362,330,390
Mack Hollins,WR,BUF,362.08,302,398
Irv Smith Jr.,TE,KC,362.6,305,401
Nick Westbrook-Ikhine,WR,TEN,363.1,319,383
Jamari Thrash,WR,CLE,363.78,320,384
Will Mallory,TE,IND,365.5,297,391
Durham Smythe,TE,MIA,366.2,357,375
Jordan Akins,TE,CLE,366.33,348,381
Anthony Gould,WR,IND,367.33,350,379
Tip Reiman,TE,ARI,367.75,326,391
AJ Barner,TE,SEA,369,356,389
Dyami Brown,WR,WAS,369.5,368,371
Trent Sherfield Sr.,WR,MIN,371.6,364,384
Cole Turner,TE,WAS,373.2,351,415
Drew Sample,TE,CIN,381,381,381
Mo Alie-Cox,TE,IND,382.5,374,391
Brenton Strange,TE,JAC,386.5,379,394
Sione Vaki,RB,DET,394,386,402
