player,pos,ecr
Alec Pierce,WR,203.92
Chris Boswell,K,204.16
New York Jets,DST,205.69
Green Bay Packers,DST,206.52
Chase McLaughlin,K,206.53
Ka'imi Fairbairn,K,206.59
Chig Okonkwo,TE,208.26
Cade Otton,TE,208.63
Nick Folk,K,210
Evan McPherson,K,212.67
Harrison Butker,K,213.6
Justice Hill,RB,214.95
Tyler Bass,K,216.79
Dontayvion Wicks,WR,217.85
Kareem Hunt,RB,218.57
Jake Elliott,K,218.68
Adonai Mitchell,WR,220.23
Andrei Iosivas,WR,220.63
Jaylin Noel,WR,222.26
Mason Taylor,TE,222.28
Jaleel McLaughlin,RB,222.52
San Francisco 49ers,DST,224.39
Darius Slayton,WR,224.56
Anthony Richardson Sr.,QB,228.52
Devaughn Vele,WR,230.3
Dalton Schultz,TE,231.16
Jason Sanders,K,231.31
Tyler Lockett,WR,231.81
Elic Ayomanor,WR,232.49
Justin Tucker,K,232.67
Younghoe Koo,K,233.65
Calvin Austin III,WR,233.73
Dallas Cowboys,DST,234.38
Diontae Johnson,WR,234.54
Amari Cooper,WR,235.02
DJ Giddens,RB,238.48
Pat Bryant,WR,238.49
Miles Sanders,RB,238.81
Kendre Miller,RB,239.02
Devin Neal,RB,239.62
Graham Gano,K,240.8
Elijah Arroyo,TE,241.54
Jalen Tolbert,WR,241.81
Tyler Loop,K,242.94
Brandin Cooks,WR,243.35
Darren Waller,TE,243.48
Will Shipley,RB,244
Cleveland Browns,DST,244.15
Matt Gay,K,244.2
Kyle Monangai,RB,247.04
Juwan Johnson,TE,247.66
Ja'Tavion Sanders,TE,248.53
Russell Wilson,QB,248.58
Elijah Moore,WR,249.03
Dyami Brown,WR,249.08
Cincinnati Bengals,DST,249.4
Brashard Smith,RB,249.73
Kayshon Boutte,WR,251.43
Cole Kmet,TE,251.68
Roman Wilson,WR,252.41
Raheem Mostert,RB,252.47
Eddy Pineiro,K,253.44
Audric Estime,RB,253.95
Tampa Bay Buccaneers,DST,254.16
Joshua Karty,K,254.64
New York Giants,DST,255
New Orleans Saints,DST,255
Elijah Mitchell,RB,255.06
Jalen Royals,WR,255.93
Nick Westbrook-Ikhine,WR,257.26
Isaiah Bond,WR,257.61
Indianapolis Colts,DST,257.83
New England Patriots,DST,257.97
Jarquez Hunter,RB,258.44
Antonio Gibson,RB,258.96
Malik Washington,WR,260.09
Daniel Jones,QB,260.24
Dont'e Thornton Jr.,WR,260.82
Hunter Renfrow,WR,261
Keaton Mitchell,RB,261.08
Brandon McManus,K,261.47
Woody Marks,RB,262.16
Matt Prater,K,262.63
Jake Moody,K,263.5
Atlanta Falcons,DST,263.5
Blake Grupe,K,264.14
Washington Commanders,DST,265.67
Tutu Atwell,WR,266.03
Theo Johnson,TE,266.07
Ollie Gordon II,RB,266.42
Cairo Santos,K,267.43
Devin Singletary,RB,268.04
Daniel Carlson,K,268.32
Kenneth Gainwell,RB,269.16
Las Vegas Raiders,DST,269.25
Arizona Cardinals,DST,269.58
Tahj Brooks,RB,269.61
Xavier Restrepo,WR,269.97
Trevor Etienne,RB,270.33
Will Reichard,K,272.2
Noah Gray,TE,274.29
Tim Patrick,WR,275.37
Ray-Ray McCloud III,WR,275.65
Chicago Bears,DST,276.28
Tre Tucker,WR,276.59
Harold Fannin Jr.,TE,276.82
Terrance Ferguson,TE,277.35
Jacksonville Jaguars,DST,278.33
Jacory Croskey-Merritt,RB,278.78
Miami Dolphins,DST,279.79
Tyler Shough,QB,280.93
Jalen Nailor,WR,280.99
Deshaun Watson,QB,281.25
Parker Washington,WR,282.35
Jordan James,RB,282.57
Jason Myers,K,282.61
Ty Johnson,RB,283
Josh Reynolds,WR,284.79
Gabe Davis,WR,284.86
Luke McCaffrey,WR,286.24
Tyler Higbee,TE,286.42
Chad Ryland,K,287
Sean Tucker,RB,287.18
Oronde Gadsden II,TE,288.73
Noah Fant,TE,288.77
Zack Moss,RB,288.79
Taysom Hill,TE,288.99
Joe Flacco,QB,290.05
Tyler Conklin,TE,290.2
Sincere McCormick,RB,290.61
Noah Brown,WR,291.38
Isaac TeSlaa,WR,291.39
Christian Watson,WR,292
Dameon Pierce,RB,292.09
Michael Gallup,WR,292.33
Khalil Herbert,RB,292.36
Kimani Vidal,RB,292.39
Isaiah Davis,RB,292.75
Tory Horton,WR,293.92
Tez Johnson,WR,295.52
Cam Little,K,297.05
Ben Sinnott,TE,297.19
Jaxson Dart,QB,297.38
Julian Fleming,WR,298
Jordan Whittington,WR,298.28
Alexander Mattison,RB,298.5
Tai Felton,WR,298.55
Jermaine Burton,WR,298.8
Marquez Valdes-Scantling,WR,300.85
Will Dissly,TE,301.02
Damien Martinez,RB,301.43
Samaje Perine,RB,302.35
Greg Dortch,WR,302.72
Bub Means,WR,304.5
A.J. Dillon,RB,305.76
Phil Mafah,RB,306.78
Jonathon Brooks,RB,307.88
Gardner Minshew II,QB,308.5
Savion Williams,WR,309.25
John Metchie III,WR,309.45
Allen Lazard,WR,309.77
Kyle Juszczyk,RB,309.8
KaVontae Turpin,WR,310.54
Hunter Luepke,RB,310.75
Ty Chandler,RB,311.06
Cam Akers,RB,311.09
