name,pos,team,adp,points,ceiling,floor,ecr_sd,ecr_best,ecr_worst,bye,yahoo_id
Brenen Thompson,WR,LAC,329.9,18.1,49.5,10.4,41.27,260,397,7,NA
Jaret Patterson,RB,LAC,330.8,0.9,32.1,0.0,50.71,262,387,7,NA
J'Mari Taylor,RB,JAC,330.9,0.8,16.6,0.0,24.04,292,381,7,NA
Dawson Knox,TE,BUF,331.4,37.0,56.2,10.3,30.02,290,418,7,NA
DeAndre Hopkins,WR,BAL,331.7,17.6,69.4,8.9,94.91,220,452,13,NA
Erick All Jr.,TE,CIN,331.9,35.6,65.0,10.3,37.89,268,413,6,NA
Kevin Coleman Jr.,WR,MIA,331.9,17.4,57.5,8.9,48.36,247,422,6,NA
Las Vegas Raiders,DST,LV,332.0,105.0,105.0,105.0,37,280,363,13,NA
Drew Sample,TE,CIN,332.3,34.2,54.1,19.8,27.4,295,360,6,NA
Carson Beck,QB,ARI,332.7,86.8,103.6,37.0,16.01,300,359,14,NA
Elijah Tau-Tolliver,RB,BAL,333.0,0.7,23.1,0.0,50,283,383,13,NA
Charlie Kolar,TE,LAC,333.2,32.9,65.0,16.1,34,267,363,7,NA
Tutu Atwell,WR,MIA,333.6,17.0,58.7,8.9,48.4,244,426,6,NA
Jaydn Ott,RB,KC,333.6,0.5,32.1,0.0,37.74,264,376,5,NA
Zavion Thomas,WR,CHI,334.8,16.6,51.2,8.9,55.04,258,443,10,NA
Cyrus Allen,WR,KC,335.0,16.3,44.0,8.9,48.92,272,440,5,NA
Mac Jones,QB,SF,335.1,81.2,125.1,25.8,31.16,276,445,8,NA
Jahdae Walker,WR,CHI,337.0,15.9,20.0,11.4,21.46,323,374,10,NA
Anthony Richardson Sr.,QB,IND,337.3,75.4,103.6,29.9,18.89,306,368,13,NA
Nick Westbrook-Ikhine,WR,IND,337.3,15.5,44.0,9.9,47.84,272,412,13,NA
Joe Milton III,QB,DAL,337.9,70.9,103.6,25.8,24.85,310,388,14,NA
Jaylin Lane,WR,WAS,339.2,15.2,41.0,10.4,35.29,290,399,7,NA
Zach Ertz,TE,FA,339.4,32.3,70.9,10.3,47.88,253,403,NA,NA
Noah Fant,TE,NO,339.5,31.7,58.4,10.3,26.94,281,386,8,NA
Taysom Hill,TE,FA,339.7,31.2,83.0,10.3,89.17,224,441,NA,NA
Dameon Pierce,RB,PHI,340.7,0.4,8.3,0.0,26.67,311,387,10,NA
Malik Benson,WR,LV,341.0,14.9,68.4,8.9,68.62,227,437,13,NA
Roman Hemby,RB,LV,342.0,0.3,20.7,0.0,40.36,285,373,13,NA
Justin Joly,TE,DEN,342.4,30.4,54.1,10.3,24.48,295,390,10,NA
Justin Fields,QB,KC,342.6,66.4,103.6,25.8,22.1,306,392,5,NA
Roschon Johnson,RB,CHI,343.0,0.1,15.9,0.0,35.47,297,392,10,NA
Ty Simpson,QB,LAR,343.2,61.9,103.6,25.8,21.72,308,389,11,NA
Riley Leonard,QB,IND,343.7,57.2,103.6,28.0,29.58,310,382,13,NA
Dyami Brown,WR,WAS,343.8,14.7,32.7,8.9,47.38,300,457,7,NA
Van Jefferson,WR,WAS,344.5,14.4,18.7,11.4,16.5,328,361,7,NA
Austin Hooper,TE,ATL,345.0,29.3,50.7,10.7,23.65,309,382,11,NA
Tanner Hudson,TE,CIN,346.0,28.3,32.9,24.9,7,339,353,6,NA
Eli Raridon,TE,NE,347.1,27.2,54.1,10.3,38.22,295,449,11,NA
Savion Williams,WR,GB,347.4,14.1,41.0,8.9,41.48,291,446,11,NA
Gardner Minshew II,QB,ARI,347.8,52.3,103.6,29.9,20.27,317,370,14,NA
Marcus Mariota,QB,WAS,350.0,46.4,97.8,25.8,23.74,324,396,7,NA
Jonnu Smith,TE,FA,350.0,25.9,56.2,10.3,46.46,290,430,NA,NA
Ben Sinnott,TE,WAS,350.4,24.9,43.5,10.3,22.65,322,385,7,NA
