name,pos,team,adp,points,ceiling,floor,ecr_sd,ecr_best,ecr_worst,bye,yahoo_id
Tim Patrick,WR,NYJ,356.5,12.1,26.8,8.0,41.5,315,398,13,NA
Joe Milton III,QB,DAL,356.8,33.0,103.6,25.8,20.91,320,388,14,NA
Mitchell Evans,TE,CAR,357.9,21.5,42.3,16.1,19.41,319,387,5,NA
Zavier Scott,RB,MIN,358.0,1.1,8.6,0.0,24.65,322,387,6,NA
Jermaine Burton,WR,FA,358.3,11.8,38.9,7.7,71.6,293,458,NA,NA
David Sills V,WR,TB,360.0,11.4,19.4,8.2,31,329,391,10,NA
Deion Burks,WR,IND,360.1,10.9,34.8,7.7,42.63,296,455,13,NA
Miles Davis,RB,CAR,362.5,0.9,4.7,0.0,20.5,342,383,5,NA
Antonio Gibson,RB,FA,362.6,0.8,8.6,0.0,41.5,326,435,NA,NA
Elijah Mitchell,RB,FA,362.7,0.7,19.8,0.0,71.13,292,460,NA,NA
Dyami Brown,WR,WAS,364.9,10.4,34.8,7.7,42.99,301,456,7,NA
Gabe Davis,WR,FA,365.0,9.9,44.8,7.7,88,277,453,NA,NA
Frank Gore Jr.,RB,BUF,365.0,0.5,1.1,0.5,5,360,370,7,NA
Tanner Koziol,TE,JAC,365.4,20.7,24.9,17.3,8.89,351,377,7,NA
Marlin Klein,TE,HOU,365.7,19.8,25.9,16.1,20.81,349,395,8,NA
Jimmy Horn Jr.,WR,CAR,366.0,9.4,14.7,8.6,15.58,344,378,5,NA
Adam Trautman,TE,DEN,370.0,18.9,50.7,15.4,36.44,308,415,10,NA
Riley Leonard,QB,IND,371.4,29.9,66.4,25.8,14.73,345,386,13,NA
Cam Akers,RB,FA,371.5,0.4,14.1,0.0,66.5,305,438,NA,NA
JuJu Smith-Schuster,WR,NYG,372.5,8.9,12.7,8.2,22.5,350,395,8,NA
Tyrod Taylor,QB,GB,373.0,28.0,97.8,25.8,50,323,423,11,NA
Marquez Valdes-Scantling,WR,DAL,374.5,8.6,25.6,7.7,40.14,318,431,14,NA
Taysom Hill,TE,FA,374.5,18.0,49.1,15.4,65.5,309,440,NA,NA
Gus Edwards,RB,FA,374.5,0.3,10.7,0.0,62.5,312,437,NA,NA
Jaydn Ott,RB,KC,374.5,0.1,0.5,0.0,8.5,366,383,5,NA
Jackson Hawes,TE,BUF,374.6,17.3,19.8,16.1,7.12,366,383,7,NA
Cash Jones,RB,ATL,376.5,0.0,1.1,0.0,16.5,360,393,11,NA
Elijah Higgins,TE,ARI,377.7,16.7,23.1,15.4,24.48,353,428,14,NA
Luke Schoonmaker,TE,DAL,378.7,16.1,17.3,16.1,2.87,375,382,14,NA
Robert Henry Jr.,RB,WAS,379.0,0.0,0.7,0.0,14.65,364,399,7,NA
Lil'Jordan Humphrey,WR,DEN,379.5,8.2,12.4,8.0,28.5,351,408,10,NA
Trey Lance,QB,LAC,385.0,25.8,28.0,25.8,9.27,377,398,7,NA
Myles Montgomery,RB,FA,385.0,0.0,0.7,0.0,20,365,405,NA,NA
Jason Sanders,K,NYJ,390.0,113.5,113.5,113.5,16,374,406,13,NA
Juice Wells Jr.,WR,ATL,397.0,8.0,17.6,7.7,62,335,459,11,NA
Jacob Cowing,WR,SF,411.5,7.7,8.9,7.7,38.5,373,450,8,NA
Michael Trigg,TE,DAL,412.5,15.4,16.1,15.4,20.5,392,433,14,NA
