name,pos,team,adp,points,ceiling,floor,ecr_sd,ecr_best,ecr_worst,bye,yahoo_id
Ray Davis,RB,BUF,193.0,67.9,95.9,33.1,30.27,143,263,7,NA
James Conner,RB,ARI,194.7,65.3,110.9,9.7,41.07,117,318,14,NA
Kimani Vidal,RB,LAC,194.8,62.8,82.4,23.1,35.11,152,288,7,NA
Kayshon Boutte,WR,NE,195.4,82.1,99.7,44.8,27.4,154,277,11,NA
Jacoby Brissett,QB,ARI,195.6,150.9,203.6,75.4,39.11,134,340,14,NA
Cameron Dicker,K,LAC,196.0,128.5,128.5,128.5,16.24,170,333,7,NA
Baltimore Ravens,DST,BAL,197.6,114.5,114.5,114.5,16.25,171,280,13,NA
Emmett Johnson,RB,KC,198.0,60.1,88.0,8.6,40.58,148,322,5,NA
Cam Little,K,JAC,199.0,128.0,128.0,128.0,9.36,171,252,7,NA
Dontayvion Wicks,WR,PHI,199.4,80.2,102.6,46.3,29.58,133,268,10,NA
Malik Washington,WR,MIA,199.4,81.1,109.3,40.4,36.47,126,291,6,NA
Sean Tucker,RB,TB,200.1,57.0,95.9,18.1,34.26,141,299,10,NA
Greg Dulcich,TE,MIA,200.2,90.2,108.9,50.7,43.44,131,306,6,NA
Jason Myers,K,SEA,200.8,127.5,127.5,127.5,10.56,174,253,11,NA
Green Bay Packers,DST,GB,201.7,114.0,114.0,114.0,21,181,279,11,NA
Pat Bryant,WR,DEN,202.1,79.0,102.6,43.2,30.84,137,280,10,NA
Troy Franklin,WR,DEN,202.1,79.7,102.6,20.0,37.68,133,328,10,NA
Jaylin Noel,WR,HOU,203.1,78.0,102.6,34.8,29.97,140,302,8,NA
Calvin Ridley,WR,TEN,204.4,77.0,109.3,26.8,35.76,126,316,9,NA
Mike Washington Jr.,RB,LV,206.0,54.7,95.9,10.7,34.45,143,313,13,NA
AJ Barner,TE,SEA,208.3,88.3,108.9,68.5,25.25,138,261,11,NA
Eddy Pineiro,K,SF,208.5,127.0,127.0,127.0,10.33,178,250,8,NA
Isaac TeSlaa,WR,DET,208.6,75.5,95.2,43.2,26.21,163,278,6,NA
Emanuel Wilson,RB,SEA,208.7,52.1,95.9,21.4,35.97,143,290,11,NA
Darnell Mooney,WR,NYG,208.7,74.0,102.6,34.8,25.21,136,296,8,NA
Tyler Loop,K,BAL,208.8,126.5,126.5,126.5,11.55,184,259,13,NA
Kansas City Chiefs,DST,KC,212.2,113.5,113.5,113.5,19.86,151,279,5,NA
Evan McPherson,K,CIN,213.9,126.0,126.0,126.0,13.48,176,263,6,NA
Cleveland Browns,DST,CLE,213.9,113.0,113.0,113.0,30.98,172,317,11,NA
Tank Dell,WR,HOU,214.6,72.5,99.7,43.2,27.67,150,281,8,NA
Cairo Santos,K,CHI,216.1,125.5,125.5,125.5,13.27,196,282,10,NA
Nicholas Singleton,RB,TEN,216.8,49.9,102.7,8.6,42.14,135,323,9,NA
Kenyon Sadiq,TE,NYJ,218.3,85.7,105.3,16.1,37.7,144,392,13,NA
Antonio Williams,WR,WAS,219.4,70.9,102.6,20.0,40.11,136,328,7,NA
Detroit Lions,DST,DET,220.2,112.5,112.5,112.5,22.16,185,279,6,NA
MarShawn Lloyd,RB,GB,220.8,48.5,102.7,7.4,54,136,330,11,NA
Rashod Bateman,WR,BAL,220.8,69.4,95.2,34.8,28.38,163,296,13,NA
Andy Borregales,K,NE,221.3,125.0,125.0,125.0,17.41,191,285,11,NA
Aaron Rodgers,QB,PIT,221.7,143.1,183.5,66.4,43.52,147,343,9,NA
Cooper Kupp,WR,SEA,222.0,68.4,102.6,34.8,30.82,140,298,11,NA
Gunnar Helm,TE,TEN,222.3,83.0,105.3,56.2,26.71,153,290,9,NA
Jaydon Blue,RB,DAL,223.7,47.6,102.7,8.3,47.84,135,328,14,NA
Jake Bates,K,DET,225.0,124.5,124.5,124.5,17.46,180,282,6,NA
Chase McLaughlin,K,TB,225.9,124.0,124.0,124.0,18.86,183,282,10,NA
Geno Smith,QB,NYJ,227.8,136.7,183.5,125.1,32.44,147,285,13,NA
Kaytron Allen,RB,WAS,227.8,46.6,80.1,8.6,34.91,158,324,7,NA
Buffalo Bills,DST,BUF,228.6,112.0,112.0,112.0,23.27,189,341,7,NA
Zachariah Branch,WR,ATL,229.7,67.3,99.7,28.4,32.85,150,313,11,NA
Harrison Mevis,K,LAR,231.5,123.5,123.5,123.5,23.27,187,282,11,NA
Jaylen Wright,RB,MIA,231.7,45.5,80.1,18.1,26.28,157,296,6,NA
Chimere Dike,WR,TEN,232.9,66.0,99.7,20.0,36.76,150,328,9,NA
Terrance Ferguson,TE,LAR,235.2,79.8,98.0,56.2,24.88,173,290,11,NA
Germie Bernard,WR,PIT,236.0,65.0,89.7,25.6,31.72,173,319,9,NA
Pat Freiermuth,TE,PIT,236.5,76.4,108.9,34.2,30.48,131,332,9,NA
Justice Hill,RB,BAL,237.7,44.1,90.0,11.2,38.94,145,310,13,NA
Harrison Butker,K,KC,240.6,123.0,123.0,123.0,24.07,187,313,5,NA
Chris Boswell,K,PIT,241.1,122.5,122.5,122.5,18.09,184,282,9,NA
Elic Ayomanor,WR,TEN,242.5,63.8,93.6,14.7,36.68,168,344,9,NA
Cade Otton,TE,TB,242.6,73.3,100.0,56.2,21.79,158,290,10,NA
Ollie Gordon II,RB,MIA,243.0,42.6,72.6,11.2,22.81,173,309,6,NA
Jack Bech,WR,LV,244.0,62.7,87.2,19.4,26.3,178,331,13,NA
Keon Coleman,WR,BUF,244.6,61.5,102.6,19.4,31.75,140,331,7,NA
Brandon Aiyuk,WR,SF,245.9,60.6,107.2,13.7,54.98,128,348,8,NA
Isaiah Davis,RB,NYJ,247.8,40.6,72.6,10.2,30.4,171,317,13,NA
Spencer Shrader,K,IND,248.2,122.0,122.0,122.0,25.2,211,282,13,NA
David Njoku,TE,LAC,248.9,70.9,98.0,54.1,21.8,173,299,7,NA
Chris Bell,WR,MIA,249.2,59.6,92.1,29.6,30.46,170,311,6,NA
Cyrus Allen,WR,KC,249.3,58.7,99.7,7.7,61.96,150,439,5,NA
Blake Grupe,K,IND,249.3,121.5,121.5,121.5,48.15,214,354,13,NA
George Holani,RB,SEA,251.2,38.5,80.1,10.7,40.97,160,313,11,NA
Christian Kirk,WR,SF,251.5,57.5,95.2,23.8,30.85,165,324,8,NA
Ja'Kobi Lane,WR,BAL,251.8,56.4,99.7,15.5,45.73,154,339,13,NA
Evan Engram,TE,DEN,253.2,68.5,108.9,52.3,26.19,138,300,10,NA
Dallas Cowboys,DST,DAL,253.3,111.5,111.5,111.5,65.72,179,366,14,NA
Demond Claiborne,RB,MIN,254.0,36.5,80.1,1.6,34.79,164,354,6,NA
Ted Hurst III,WR,TB,254.2,55.0,84.4,12.4,35.2,184,351,10,NA
Tory Horton,WR,SEA,254.7,53.5,82.1,25.0,23.67,197,323,11,NA
Malachi Fields,WR,NYG,254.8,52.3,84.4,8.6,33.83,190,379,8,NA
Will Reichard,K,MIN,254.8,121.0,121.0,121.0,32.3,192,333,6,NA
Ty Johnson,RB,BUF,255.1,34.7,80.1,0.0,36.02,156,385,7,NA
Fernando Mendoza,QB,LV,255.6,130.2,158.3,66.4,37.52,172,345,13,NA
Tyreek Hill,WR,FA,256.4,51.2,102.6,15.5,47.4,133,340,NA,NA
Caleb Douglas,WR,MIA,257.8,50.2,95.2,8.2,57.39,164,390,6,NA
Cincinnati Bengals,DST,CIN,258.6,111.0,111.0,111.0,57.43,212,356,6,NA
Elijah Sarratt,WR,BAL,259.0,49.5,77.0,12.7,23.75,208,350,13,NA
Marvin Mims Jr.,WR,DEN,259.1,48.9,80.2,34.8,24.21,202,299,10,NA
Nick Folk,K,ATL,259.1,120.5,120.5,120.5,52.24,199,366,11,NA
Xavier Legette,WR,CAR,259.6,48.2,87.2,19.4,31.85,178,332,5,NA
San Francisco 49ers,DST,SF,260.0,110.5,110.5,110.5,30.23,194,356,8,NA
Trey Benson,RB,ARI,261.1,33.1,90.0,0.7,47.28,145,364,14,NA
Trey Smack,K,GB,262.6,120.0,120.0,120.0,47.93,215,373,11,NA
Colby Parkinson,TE,LAR,262.8,66.7,88.3,23.1,20.19,214,353,11,NA
Atlanta Falcons,DST,ATL,263.7,110.0,110.0,110.0,31.79,186,356,11,NA
Brandon McManus,K,FA,264.0,119.5,119.5,119.5,78.75,197,395,NA,NA
Tua Tagovailoa,QB,ATL,264.3,125.1,203.6,66.4,37.9,134,346,11,NA
LeQuint Allen Jr.,RB,JAC,264.5,32.1,75.2,8.6,27.59,169,326,7,NA
Jordan James,RB,SF,264.7,31.3,80.1,0.0,40.56,160,401,8,NA
Chris Brooks,RB,GB,265.2,30.8,72.6,9.0,28.24,182,321,11,NA
DJ Giddens,RB,IND,266.8,30.1,72.6,7.9,24.16,177,329,13,NA
Darius Slayton,WR,NYG,267.2,47.6,82.1,9.4,28,199,371,8,NA
Tyquan Thornton,WR,KC,267.6,47.0,92.1,9.4,31.88,170,370,5,NA
Wil Lutz,K,DEN,267.7,119.0,119.0,119.0,31.6,188,333,10,NA
Keenan Allen,WR,LAC,267.8,46.3,93.6,34.8,28.87,168,298,7,NA
Kaelon Black,RB,SF,268.1,29.5,80.1,5.1,45.39,160,337,8,NA
Tennessee Titans,DST,TEN,268.2,109.5,109.5,109.5,70,194,356,9,NA
Chicago Bears,DST,CHI,268.4,109.0,109.0,109.0,45.98,185,342,10,NA
New Orleans Saints,DST,NO,268.9,108.5,108.5,108.5,39.23,183,356,8,NA
Samaje Perine,RB,CIN,270.4,29.0,80.1,0.0,39.7,157,414,6,NA
Kyle Williams,WR,NE,270.5,45.6,83.1,14.7,32.31,195,343,11,NA
Mike Gesicki,TE,CIN,270.5,65.0,83.0,23.1,25.05,226,355,6,NA
Kaleb Johnson,RB,PIT,271.1,28.2,90.0,4.2,34.33,145,343,9,NA
Devaughn Vele,WR,NO,272.3,44.8,69.4,26.8,19.49,221,315,8,NA
Mason Taylor,TE,NYJ,272.8,62.9,90.2,32.3,28.51,203,336,13,NA
Eli Stowers,TE,PHI,273.2,60.6,88.3,17.3,28.54,217,377,10,NA
Devin Neal,RB,NO,275.4,27.3,75.2,0.0,37.32,169,377,8,NA
Indianapolis Colts,DST,IND,276.0,108.0,108.0,108.0,38.91,171,357,13,NA
Las Vegas Raiders,DST,LV,276.5,107.5,107.5,107.5,61.21,188,361,13,NA
Mack Hollins,WR,NE,277.3,44.0,77.0,8.2,35.15,205,384,11,NA
New York Giants,DST,NYG,277.5,107.0,107.0,107.0,56.8,186,387,8,NA
Andrei Iosivas,WR,CIN,277.8,43.2,82.1,10.9,30.65,197,361,6,NA
Tyler Bass,K,BUF,278.1,118.5,118.5,118.5,47.75,216,410,7,NA
Theo Johnson,TE,NYG,279.3,58.4,91.8,22.3,24.44,196,357,8,NA
Brashard Smith,RB,KC,279.4,26.5,45.5,5.1,22.55,234,337,5,NA
Jake Moody,K,WAS,279.6,118.0,118.0,118.0,30.23,248,333,7,NA
Chris Brazzell II,WR,CAR,281.0,42.5,68.4,9.4,32.96,227,368,5,NA
Elijah Moore,WR,PHI,281.5,41.9,48.2,34.8,17.5,264,299,10,NA
Daniel Carlson,K,LV,281.8,117.5,117.5,117.5,68.11,210,405,13,NA
Tampa Bay Buccaneers,DST,TB,282.2,106.5,106.5,106.5,62.6,190,365,10,NA
Jake Tonges,TE,SF,282.4,56.2,100.0,28.3,32.31,158,345,8,NA
Malik Davis,RB,DAL,282.9,25.4,49.9,4.2,25.82,219,343,14,NA
Hollywood Brown,WR,PHI,283.8,41.4,72.5,8.6,25.23,218,375,10,NA
Najee Harris,RB,LAC,285.1,24.1,80.1,5.1,32.38,157,337,7,NA
Skyler Bell,WR,BUF,285.2,41.0,80.2,8.2,35.21,200,384,7,NA
Charlie Smyth,K,NO,285.8,117.0,117.0,117.0,39.68,207,364,8,NA
Kendre Miller,RB,NO,287.2,23.1,80.1,0.5,36.37,164,366,8,NA
Arizona Cardinals,DST,ARI,287.5,106.0,106.0,106.0,75.5,212,363,14,NA
Devin Singletary,RB,NYG,288.5,22.2,80.1,6.9,26.57,162,332,8,NA
Emari Demercado,RB,KC,288.8,21.4,80.1,0.0,35.92,162,381,5,NA
Washington Commanders,DST,WAS,289.5,105.5,105.5,105.5,92.99,190,403,7,NA
Michael Penix Jr.,QB,ATL,289.6,119.2,150.9,66.4,24.13,218,347,11,NA
Jerome Ford,RB,WAS,290.1,20.7,60.1,8.6,27.37,200,326,7,NA
New York Jets,DST,NYJ,290.4,105.0,105.0,105.0,95.02,191,432,13,NA
Isaiah Bond,WR,CLE,290.7,40.4,67.3,8.2,29.07,230,388,11,NA
Adam Randall,RB,BAL,291.5,19.8,57.0,5.1,27.57,205,338,13,NA
Diontae Johnson,WR,FA,291.5,39.8,68.4,11.8,68.5,223,360,NA,NA
Deshaun Watson,QB,CLE,292.1,113.7,136.7,61.9,24.55,242,348,11,NA
Jalen Tolbert,WR,MIA,292.6,38.9,87.2,8.2,46.85,179,388,6,NA
Jaleel McLaughlin,RB,DEN,294.1,19.0,72.6,0.0,30.42,177,381,10,NA
Kirk Cousins,QB,LV,294.4,108.6,150.9,57.2,28.76,212,349,13,NA
Seth McGowan,RB,IND,294.4,18.1,54.7,4.2,27.15,208,343,13,NA
Jahan Dotson,WR,ATL,294.9,37.5,83.1,8.6,40.89,195,375,11,NA
Xavier Restrepo,WR,TEN,295.2,36.1,65.0,19.4,36.23,239,330,9,NA
Carolina Panthers,DST,CAR,295.5,104.5,104.5,104.5,49.22,172,367,5,NA
Jake Elliott,K,PHI,295.5,116.5,116.5,116.5,47.16,205,383,10,NA
Brandin Cooks,WR,FA,295.7,34.8,46.3,17.0,29.01,269,336,NA,NA
Shedeur Sanders,QB,CLE,295.9,103.6,150.9,57.2,27.4,214,350,11,NA
Ryan Fitzgerald,K,CAR,297.2,116.0,116.0,116.0,77.05,213,409,5,NA
Darren Waller,TE,CAR,297.6,54.1,83.0,16.1,51.46,224,379,5,NA
Darnell Washington,TE,PIT,299.6,52.3,68.5,16.1,27.97,259,389,9,NA
Bam Knight,RB,ARI,300.4,17.3,57.0,1.2,34.31,201,358,14,NA
Jarquez Hunter,RB,LAR,300.6,16.6,40.6,1.1,22.68,248,361,11,NA
Tahj Brooks,RB,CIN,301.5,15.9,45.5,4.2,20.59,237,343,6,NA
Zane Gonzalez,K,MIA,301.8,115.5,115.5,115.5,63.79,206,408,6,NA
Isaac Guerendo,RB,SF,303.1,15.0,49.9,1.1,26.67,219,362,8,NA
Oscar Delp,TE,NO,303.3,50.7,85.7,18.9,36.4,221,373,8,NA
Ashton Dulin,WR,IND,303.8,33.6,58.7,15.5,27.43,250,340,13,NA
Konata Mumpfield,WR,LAR,304.4,32.7,61.5,9.4,28.57,245,367,11,NA
Chad Ryland,K,ARI,304.7,115.0,115.0,115.0,74.18,200,394,14,NA
Audric Estime,RB,NO,304.8,14.1,40.6,0.5,23.19,248,370,8,NA
Raheem Mostert,RB,LV,305.0,13.2,18.1,10.7,9,296,314,13,NA
Joe Mixon,RB,FA,305.2,12.3,82.4,0.7,39.99,153,363,NA,NA
Brenen Thompson,WR,LAC,305.4,32.0,60.6,8.2,39.13,247,384,7,NA
Cedric Tillman,WR,CLE,305.9,31.5,60.6,8.2,30.66,247,387,11,NA
Ben Sauls,K,NYG,306.3,114.5,114.5,114.5,81.29,209,454,8,NA
Tez Johnson,WR,TB,306.8,30.9,50.2,9.4,26.97,258,371,10,NA
Trevor Etienne,RB,CAR,307.4,11.7,40.6,1.2,18.74,251,358,5,NA
Eli Heidenreich,RB,PIT,308.0,11.2,40.6,0.4,33.75,248,373,9,NA
Kendrick Bourne,WR,ARI,308.7,30.2,72.5,7.7,54.47,218,447,14,NA
Joshua Palmer,WR,BUF,308.8,29.6,77.0,8.2,41.82,208,385,7,NA
Elijah Arroyo,TE,SEA,308.9,49.1,73.3,19.8,27.12,246,369,11,NA
Tommy Myers,TE,FA,309.5,47.7,68.5,15.4,69.62,256,426,NA,NA
Miami Dolphins,DST,MIA,310.1,104.0,104.0,104.0,68.46,188,393,6,NA
Phil Mafah,RB,DAL,310.8,10.7,44.1,0.0,40.16,243,400,14,NA
Luke McCaffrey,WR,WAS,311.5,29.0,48.2,8.0,27.25,265,404,7,NA
Michael Mayer,TE,LV,311.7,46.0,68.5,19.8,27.69,261,370,13,NA
Olamide Zaccheaus,WR,ATL,312.9,28.4,68.4,9.4,33.28,224,371,11,NA
Roman Wilson,WR,PIT,313.0,27.8,45.6,10.9,30.45,272,362,9,NA
Will Kacmarek,TE,MIA,314.0,44.6,50.7,42.3,5.89,306,320,6,NA
Jalen Royals,WR,KC,314.1,27.3,49.5,9.4,24.76,259,371,5,NA
Calvin Austin III,WR,NYG,314.2,26.8,48.2,8.0,35.29,262,411,8,NA
Joey Slye,K,TEN,314.3,114.0,114.0,114.0,68.64,212,404,9,NA
Kareem Hunt,RB,FA,315.0,10.2,34.7,0.0,25.14,260,422,NA,NA
KaVontae Turpin,WR,DAL,316.0,26.2,72.5,7.7,54.42,218,434,14,NA
DeMario Douglas,WR,NE,316.3,25.6,72.5,7.7,42.63,218,424,11,NA
Charlie Kolar,TE,LAC,317.7,43.5,68.5,16.1,44.41,256,392,7,NA
Will Shipley,RB,PHI,317.9,9.7,34.7,1.1,21.59,257,360,10,NA
Tyler Higbee,TE,LAR,318.0,42.3,68.5,18.9,26.27,259,372,11,NA
Reggie Gilliam,RB,NE,319.5,9.3,16.6,5.1,18.5,301,338,11,NA
Malik Benson,WR,LV,320.1,25.0,66.0,7.7,71.87,236,436,13,NA
Raheim Sanders,RB,CLE,320.4,9.0,34.7,0.0,29.84,256,384,11,NA
Max Klare,TE,LAR,320.6,40.1,58.4,19.8,23.85,281,370,11,NA
Ja'Tavion Sanders,TE,CAR,320.6,41.1,73.3,16.1,35.33,243,400,5,NA
Cole Kmet,TE,CHI,320.7,38.6,68.5,16.1,27.5,259,382,10,NA
Ty Chandler,RB,NO,321.0,8.6,25.4,0.0,36.93,283,382,8,NA
J.J. McCarthy,QB,MIN,322.6,97.8,125.1,33.0,18.25,278,359,6,NA
Odell Beckham Jr.,WR,NYG,323.3,24.5,32.7,12.7,19.29,305,350,8,NA
Jalen Milroe,QB,SEA,323.7,92.1,136.7,33.0,48.55,255,358,11,NA
Bryce Lance,WR,NO,323.9,23.8,46.3,8.2,31.41,270,386,8,NA
Treylon Burks,WR,WAS,324.0,23.2,83.1,8.0,43.56,195,410,7,NA
Tyler Lockett,WR,LV,324.7,22.6,60.6,7.7,68.19,247,413,13,NA
Noah Gray,TE,KC,325.0,37.0,56.2,19.8,23.11,290,367,5,NA
Xavier Smith,WR,LAR,325.3,21.9,41.0,8.2,43.18,289,386,11,NA
Dont'e Thornton Jr.,WR,LV,325.5,21.4,46.3,8.2,35.46,270,384,13,NA
John Bates,TE,WAS,325.6,35.6,60.6,15.4,46.47,274,430,7,NA
